Quarter,Time,Tm,Detail,CHI,TAM
1.0,11:50,Bears,John Gilmore 1 yard pass from Kyle Orton (Robbie Gould kick),7,0
,2:12,Buccaneers,Matt Bryant 27 yard field goal,7,3
2.0,0:17,Bears,Robbie Gould 25 yard field goal,10,3
3.0,3:47,Bears,Robbie Gould 36 yard field goal,13,3
4.0,7:00,Buccaneers,Mike Alstott 2 yard rush (Matt Bryant kick),13,10
