Unnamed: 0,CHI,TAM
First Downs,15,15
Rush-Yds-TDs,33-118-0,25-107-1
Cmp-Att-Yd-TD-INT,14-28-134-1-1,19-30-202-0-0
Sacked-Yards,2-13,4-34
Net Pass Yards,121,168
Total Yards,239,275
Fumbles-Lost,3-0,1-1
Turnovers,1,1
Penalties-Yards,4-35,5-52
Third Down Conv.,4-15,2-12
Fourth Down Conv.,0-0,0-0
Time of Possession,30:03,29:57
