Unnamed: 0,SEA,STL
First Downs,19,15
Rush-Yds-TDs,34-179-1,27-75-0
Cmp-Att-Yd-TD-INT,17-25-160-0-3,17-31-223-1-1
Sacked-Yards,2-20,2-12
Net Pass Yards,140,211
Total Yards,319,286
Fumbles-Lost,0-0,0-0
Turnovers,3,1
Penalties-Yards,5-55,6-37
Third Down Conv.,2-9,5-13
Fourth Down Conv.,0-0,1-1
Time of Possession,29:52,30:08
