Quarter,Time,Down,ToGo,Location,SEA,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,STL 35,0,0,"Greg Zuerlein kicks off 73 yards, touchback",0.000,0.280
1,15:00,1,10,SEA 20,0,0,Russell Wilson pass complete short right to Sidney Rice for 17 yards (tackle by Cortland Finnegan),0.280,1.400
1,14:23,1,10,SEA 37,0,0,Russell Wilson right end for 8 yards (tackle by Rocky McIntosh),1.400,1.940
1,14:04,2,2,SEA 45,0,0,Marshawn Lynch left tackle for 4 yards (tackle by James Laurinaitis),1.940,2.190
1,13:29,1,10,SEA 49,0,0,Marshawn Lynch left tackle for 3 yards (tackle by William Hayes),2.190,2.050
1,12:50,2,7,STL 48,0,0,Russell Wilson pass complete deep right to Sidney Rice for 16 yards (tackle by Quintin Mikell),2.050,3.450
1,12:10,1,10,STL 32,0,0,Marshawn Lynch up the middle for 7 yards (tackle by Jo-Lonn Dunbar),3.450,3.850
1,11:26,2,3,STL 25,0,0,Russell Wilson pass complete short right to Golden Tate for 7 yards (tackle by Cortland Finnegan),3.850,4.370
1,10:52,1,10,STL 18,6,0,"Marshawn Lynch left tackle for 18 yards, touchdown. Penalty on Kendall Langford: Defensive Offside (Declined)",4.370,7.000
1,10:52,,,STL 2,7,0,Steven Hauschka kicks extra point good,0.000,0.000
1,10:45,,,SEA 35,7,0,"Steven Hauschka kicks off 74 yards, touchback",0.000,0.280
1,10:45,1,10,STL 20,7,0,Steven Jackson up the middle for 1 yard (tackle by K.J. Wright),0.280,-0.130
1,10:06,2,9,STL 21,7,0,Steven Jackson left tackle for 1 yard (tackle by Brandon Mebane),-0.130,-0.690
1,9:21,3,8,STL 22,7,0,"Penalty on Wayne Hunter: False Start, 5 yards (no play)",-0.690,-1.510
1,9:08,3,13,STL 17,7,0,Sam Bradford pass complete short right to Brandon Gibson for 14 yards (tackle by Kam Chancellor),-1.510,1.000
1,8:33,1,10,STL 31,7,0,Sam Bradford pass incomplete short right intended for Brian Quick,1.000,0.460
1,8:26,2,10,STL 31,7,0,Sam Bradford pass complete short middle to Brandon Gibson for 14 yards (tackle by Robert Turbin),0.460,1.930
1,7:51,1,10,STL 45,7,0,Steven Jackson right tackle for 23 yards (tackle by Earl Thomas),1.930,3.450
1,7:06,1,10,SEA 32,7,0,Sam Bradford pass complete short left to Lance Kendricks for -4 yards (tackle by K.J. Wright),3.450,2.360
1,6:20,2,14,SEA 36,7,0,Sam Bradford sacked by Jason Jones for -8 yards,2.360,0.630
1,5:48,3,22,SEA 44,7,0,Steven Jackson up the middle for 4 yards (tackle by Malcolm Smith),0.630,0.590
1,5:03,4,18,SEA 40,7,3,Greg Zuerlein 58 yard field goal good,0.590,3.000
1,4:59,,,STL 35,7,3,"Greg Zuerlein kicks off 68 yards, touchback",0.000,0.280
1,4:59,1,10,SEA 20,7,3,Marshawn Lynch up the middle for 2 yards (tackle by Robert Quinn),0.280,0.000
1,4:23,2,8,SEA 22,7,3,Russell Wilson pass complete short middle to Zach Miller for 9 yards (tackle by Rocky McIntosh and James Laurinaitis),0.000,1.000
1,3:47,1,10,SEA 31,7,3,Russell Wilson pass complete short right to Robert Turbin for 6 yards (tackle by Rocky McIntosh),1.000,1.270
1,3:22,2,4,SEA 37,7,3,Marshawn Lynch right guard for 3 yards (tackle by Rocky McIntosh),1.270,0.960
1,2:52,3,1,SEA 40,7,3,Marshawn Lynch left end for -2 yards (tackle by Janoris Jenkins),0.960,-0.850
1,2:09,4,3,SEA 38,7,3,"Jon Ryan punts 62 yards, touchback. Penalty on Trumaine Johnson: Offensive Holding, 10 yards",-0.850,0.380
1,1:59,1,10,STL 10,7,3,Steven Jackson right end for 4 yards (tackle by Bobby Wagner),-0.380,-0.460
1,1:18,2,6,STL 14,7,3,Sam Bradford pass complete short left to Danny Amendola for 6 yards (tackle by Kam Chancellor),-0.460,0.280
1,0:32,1,10,STL 20,7,3,Sam Bradford pass complete deep right to Chris Givens for 52 yards (tackle by Earl Thomas),0.280,3.710
Quarter,Time,Down,ToGo,Location,SEA,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SEA 28,7,3,Steven Jackson right guard for no gain (tackle by Brandon Mebane),3.710,3.170
2,14:16,2,10,SEA 28,7,3,"Sam Bradford pass incomplete short right intended for Brandon Gibson is intercepted by Richard Sherman at SEA-13 and returned for 29 yards (tackle by Harvey Dahl). Penalty on Chris Clemons: Personal Foul, 15 yards",3.170,-0.740
2,14:06,1,10,SEA 27,7,3,"Russell Wilson pass complete short right to Zach Miller for 10 yards (tackle by Kendall Langford). Penalty on Breno Giacomini: Personal Foul, 15 yards",0.740,-0.480
2,13:34,2,15,SEA 22,7,3,Russell Wilson pass complete short middle to Zach Miller for 13 yards (tackle by Rocky McIntosh),-0.480,0.560
2,13:04,3,2,SEA 35,7,3,Russell Wilson pass incomplete short middle intended for Golden Tate,0.560,-1.040
2,12:53,4,2,SEA 35,7,3,"Jon Ryan punts 62 yards, returned by Danny Amendola for 18 yards (tackle by Jeremy Lane)",-1.040,-0.340
2,12:40,1,10,STL 21,7,3,Sam Bradford pass complete short right to Danny Amendola for 6 yards (tackle by Richard Sherman),0.340,0.610
2,12:08,2,4,STL 27,7,3,Daryl Richardson left end for 2 yards (tackle by K.J. Wright),0.610,0.170
2,11:25,3,2,STL 29,7,3,Sam Bradford pass incomplete short right intended for Danny Amendola,0.170,-1.440
2,11:21,4,2,STL 29,7,3,"John Hekker punts 47 yards, returned by Leon Washington for -3 yards (tackle by Rodney McLeod)",-1.440,-0.340
2,11:13,1,10,SEA 21,7,3,Marshawn Lynch left tackle for 9 yards (tackle by James Laurinaitis),0.340,1.020
2,10:34,2,1,SEA 30,7,3,Marshawn Lynch right tackle for 3 yards (tackle by Chris Long),1.020,1.140
2,9:54,1,10,SEA 33,7,3,Russell Wilson right end for 1 yard (tackle by William Hayes),1.140,0.730
2,9:09,2,9,SEA 34,7,3,Marshawn Lynch left end for 15 yards (tackle by James Laurinaitis),0.730,2.190
2,8:41,1,10,SEA 49,7,3,Russell Wilson up the middle for -5 yards (tackle by Kellen Heard),2.190,0.970
2,8:11,2,15,SEA 44,7,3,Russell Wilson pass complete short right to Robert Turbin for 7 yards (tackle by Jo-Lonn Dunbar),0.970,1.220
2,7:35,3,8,STL 49,7,3,Russell Wilson pass incomplete short left intended for Doug Baldwin is intercepted by Trumaine Johnson at STL-44 and returned for 4 yards (tackle by Doug Baldwin),1.220,-2.130
2,7:23,1,10,STL 48,7,3,Steven Jackson up the middle for 9 yards (tackle by Bobby Wagner),2.130,2.800
2,6:40,2,1,SEA 43,7,3,Daryl Richardson right guard for 1 yard (tackle by Bobby Wagner),2.800,2.790
2,5:58,1,10,SEA 42,7,3,Sam Bradford pass incomplete short right intended for Brit Miller (defended by Alan Branch),2.790,2.240
2,5:50,2,10,SEA 42,7,3,Sam Bradford sacked by Alan Branch for -4 yards,2.240,1.030
2,5:10,3,14,SEA 46,7,3,Sam Bradford pass complete short right to Austin Pettis for 17 yards (tackle by Richard Sherman),1.030,3.640
2,4:32,1,10,SEA 29,7,3,Steven Jackson right tackle for 5 yards (tackle by Bobby Wagner),3.640,3.780
2,3:50,2,5,SEA 24,7,3,"Sam Bradford pass complete short middle to Austin Pettis for 9 yards (tackle by Bobby Wagner). Penalty on Brandon Gibson: Illegal Formation, 5 yards (no play)",3.780,3.100
2,3:21,2,10,SEA 29,7,3,Sam Bradford pass incomplete short right intended for Daryl Richardson (defended by Clinton McDonald),3.100,2.410
2,3:16,3,10,SEA 29,7,3,Sam Bradford pass complete deep middle to Brian Quick for 19 yards (tackle by Richard Sherman),2.410,0.000
2,2:33,,,,7,3,Timeout #1 by St. Louis Rams,0.000,4.910
2,2:33,1,10,SEA 10,7,3,Steven Jackson right end for 7 yards (tackle by K.J. Wright),4.910,5.530
2,2:00,2,3,SEA 3,7,3,"Steven Jackson right tackle for 3 yards. Penalty on Robert Turner: Offensive Holding, 10 yards (no play)",5.530,3.720
2,1:56,2,13,SEA 13,7,3,Sam Bradford pass complete short left to Danny Amendola for 11 yards (tackle by K.J. Wright),3.720,4.950
2,1:20,3,2,SEA 2,7,3,Sam Bradford pass incomplete short right intended for Danny Amendola,4.950,3.250
2,1:16,4,2,SEA 2,7,9,"John Hekker pass complete short right to Danny Amendola for 2 yards, touchdown",3.250,7.000
2,1:16,,,SEA 2,7,10,Greg Zuerlein kicks extra point good,0.000,0.000
