Unnamed: 0,SFO,LAR
First Downs,22,10
Rush-Yds-TDs,41-99-2,22-109-1
Cmp-Att-Yd-TD-INT,24-33-243-0-1,13-24-78-0-0
Sacked-Yards,2-11,4-30
Net Pass Yards,232,48
Total Yards,331,157
Fumbles-Lost,1-1,2-1
Turnovers,2,1
Penalties-Yards,4-30,8-59
Third Down Conv.,8-17,0-9
Fourth Down Conv.,1-1,0-4
Time of Possession,38:52,21:08
