Quarter,Time,Tm,Detail,SFO,LAR
1.0,9:17,Rams,Robert Woods 8 yard rush (Greg Zuerlein kick),0,7
,3:39,49ers,Tevin Coleman 2 yard rush (Robbie Gould kick),7,7
3.0,12:50,49ers,Jimmy Garoppolo 1 yard rush (Robbie Gould kick),14,7
,4:58,49ers,Robbie Gould 25 yard field goal,17,7
4.0,12:03,49ers,Robbie Gould 34 yard field goal,20,7
