Unnamed: 0,CLE,HOU
First Downs,10,21
Rush-Yds-TDs,21-44-0,40-261-3
Cmp-Att-Yd-TD-INT,14-22-146-1-1,14-23-119-0-1
Sacked-Yards,4-18,0-0
Net Pass Yards,128,119
Total Yards,172,380
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,4-35,2-15
Third Down Conv.,4-12,9-14
Fourth Down Conv.,2-2,1-1
Time of Possession,24:45,35:15
