Unnamed: 0,PIT,CLE
First Downs,22,19
Rush-Yds-TDs,32-138-0,38-158-3
Cmp-Att-Yd-TD-INT,21-42-228-1-1,8-17-217-1-0
Sacked-Yards,2-7,1-7
Net Pass Yards,221,210
Total Yards,359,368
Fumbles-Lost,1-0,3-1
Turnovers,1,1
Penalties-Yards,6-42,6-60
Third Down Conv.,6-16,4-11
Fourth Down Conv.,0-2,0-0
Time of Possession,33:05,26:55
