Quarter,Time,Tm,Detail,DAL,WAS
1.0,7:32,Redskins,Mike Sellers 2 yard pass from Jason Campbell (Shaun Suisham kick),0,7
2.0,1:01,Cowboys,Marion Barber III 2 yard rush (Nick Folk kick),7,7
,0:04,Redskins,Shaun Suisham 41 yard field goal,7,10
4.0,10:36,Cowboys,Martellus Bennett 25 yard pass from Tony Romo (Nick Folk kick),14,10
