Unnamed: 0,DAL,WAS
First Downs,17,14
Rush-Yds-TDs,28-117-1,18-92-0
Cmp-Att-Yd-TD-INT,19-27-198-1-2,22-35-162-1-1
Sacked-Yards,0-0,3-26
Net Pass Yards,198,136
Total Yards,315,228
Fumbles-Lost,1-0,0-0
Turnovers,2,1
Penalties-Yards,5-40,2-10
Third Down Conv.,5-11,5-14
Fourth Down Conv.,1-1,1-2
Time of Possession,31:14,28:46
