Unnamed: 0,OAK,TEN
First Downs,17,19
Rush-Yds-TDs,25-123-1,29-181-1
Cmp-Att-Yd-TD-INT,21-35-249-1-1,17-33-214-0-2
Sacked-Yards,1-4,1-2
Net Pass Yards,245,212
Total Yards,368,393
Fumbles-Lost,0-0,2-1
Turnovers,1,3
Penalties-Yards,8-58,8-70
Third Down Conv.,5-13,2-12
Fourth Down Conv.,0-0,0-1
Time of Possession,29:03,30:57
