Quarter,Time,Down,ToGo,Location,OAK,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,TEN 25,0,0,Marcus Mariota pass complete short right to Rishard Matthews for 14 yards (tackle by Reggie Nelson),0.610,1.530
1,14:24,1,10,TEN 39,0,0,DeMarco Murray left guard for 3 yards (tackle by Bruce Irvin),1.530,1.390
1,13:48,2,7,TEN 42,0,0,DeMarco Murray left end for 17 yards (tackle by Reggie Nelson),1.390,2.850
1,13:02,1,10,OAK 41,0,0,Marcus Mariota pass incomplete deep left intended for Tajae Sharpe,2.850,2.310
1,12:58,2,10,OAK 41,0,0,Derrick Henry left guard for 4 yards (tackle by Malcolm Smith),2.310,2.150
1,12:20,3,6,OAK 37,0,0,Marcus Mariota pass complete short left to Jace Amaro for 17 yards (tackle by Keith McGill),2.150,4.240
1,11:49,1,10,OAK 20,0,0,Marcus Mariota pass incomplete short left intended for Tajae Sharpe,4.240,3.690
1,11:46,2,10,OAK 20,0,0,DeMarco Murray right tackle for 1 yard (tackle by Jihad Ward and Darius Latham),3.690,3.100
1,11:07,3,9,OAK 19,0,0,"Penalty on Marcus Mariota: False Start, 5 yards (no play)",3.100,2.480
1,10:45,3,14,OAK 24,0,0,Marcus Mariota pass complete short left to DeMarco Murray for 8 yards (tackle by Malcolm Smith),2.480,2.400
1,9:55,4,6,OAK 16,0,3,Ryan Succop 34 yard field goal good,2.400,3.000
1,9:55,,,TEN 35,0,3,"Ryan Succop kicks off 56 yards, out of bounds",0.000,-1.600
1,9:50,1,10,OAK 40,0,3,Derek Carr pass complete deep right to Amari Cooper for 25 yards (tackle by Perrish Cox),1.600,3.250
1,9:20,1,10,TEN 35,0,3,Derek Carr pass incomplete short right intended for Seth Roberts,3.250,2.700
1,9:14,2,10,TEN 35,0,3,Derek Carr pass incomplete short left intended for Jamize Olawale,2.700,2.010
1,9:10,3,10,TEN 35,0,3,Derek Carr pass complete short left to Jalen Richard for 13 yards (tackle by Rashad Johnson and Jason McCourty),2.010,4.110
1,8:27,1,10,TEN 22,6,3,"Latavius Murray middle for 22 yards, touchdown",4.110,7.000
1,8:27,,,TEN 22,7,3,Sebastian Janikowski kicks extra point good,0.000,0.000
1,8:27,,,OAK 35,7,3,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
1,8:19,1,10,TEN 25,7,3,"Marcus Mariota left end for 5 yards. Marcus Mariota fumbles, recovered by Harry Douglas at TEN-34",0.610,1.280
1,7:40,2,1,TEN 34,7,3,Derrick Henry middle for 3 yards (tackle by Jihad Ward),1.280,1.400
1,7:08,1,10,TEN 37,7,3,Marcus Mariota pass incomplete short right intended for Andre Johnson (defended by David Amerson),1.400,0.860
1,7:03,2,10,TEN 37,7,3,Derrick Henry middle for 3 yards (tackle by Jihad Ward),0.860,0.560
1,6:29,3,7,TEN 40,7,3,Marcus Mariota pass incomplete short right intended for Tajae Sharpe,0.560,-0.720
1,6:24,4,7,TEN 40,7,3,"Brett Kern punts 53 yards, fair catch by Jalen Richard",-0.720,0.380
1,6:16,1,10,OAK 7,7,3,Latavius Murray right guard for no gain (tackle by Daimion Stafford),-0.380,-0.380
1,5:41,1,10,OAK 7,7,3,Timeout #1 by Tennessee Titans,-0.380,-0.780
1,5:41,2,10,OAK 7,7,3,Derek Carr pass complete short left to Lee Smith for 4 yards (tackle by Sean Spence),-0.780,-0.950
1,5:02,3,6,OAK 11,7,3,Derek Carr pass complete short right to Michael Crabtree for 7 yards (tackle by Antwon Blake),-0.950,0.040
1,4:25,1,10,OAK 18,7,3,Jalen Richard middle for 3 yards (tackle by Perrish Cox and Avery Williamson),0.040,0.010
