Quarter,Time,Tm,Detail,CLE,IND
1.0,0:24,Colts,Jacoby Brissett 5 yard rush (Adam Vinatieri kick),0,7
2.0,13:22,Browns,Duke Johnson 19 yard rush (Zane Gonzalez kick),7,7
,10:06,Colts,Jacoby Brissett 7 yard rush (Adam Vinatieri kick),7,14
,5:14,Colts,T.Y. Hilton 61 yard pass from Jacoby Brissett (Adam Vinatieri kick),7,21
,2:41,Colts,Frank Gore 4 yard rush (Adam Vinatieri kick),7,28
,0:27,Browns,David Njoku 1 yard pass from DeShone Kizer (Zane Gonzalez kick),14,28
4.0,10:18,Colts,Adam Vinatieri 33 yard field goal,14,31
,6:56,Browns,Kenny Britt 11 yard pass from DeShone Kizer (Zane Gonzalez kick),21,31
,2:04,Browns,DeShone Kizer 1 yard rush (Zane Gonzalez kick),28,31
