Unnamed: 0,CLE,IND
First Downs,25,16
Rush-Yds-TDs,21-111-2,36-92-3
Cmp-Att-Yd-TD-INT,22-47-242-2-3,17-24-259-1-0
Sacked-Yards,1-7,3-16
Net Pass Yards,235,243
Total Yards,346,335
Fumbles-Lost,1-0,1-1
Turnovers,3,1
Penalties-Yards,10-113,11-99
Third Down Conv.,5-13,8-17
Fourth Down Conv.,0-0,0-0
Time of Possession,26:33,33:27
