0,1
Game Info,Game Info
Won Toss,Giants (deferred)
Roof,outdoors
Surface,fieldturf
Duration,3:01
Attendance,68921
Weather,"54 degrees, relative humidity 72%, wind 12 mph"
Vegas Line,Seattle Seahawks -3.0
Over/Under,44.5 (under)
