Unnamed: 0,NYG,SEA
First Downs,14,19
Rush-Yds-TDs,28-78-1,25-87-1
Cmp-Att-Yd-TD-INT,17-31-176-0-0,23-34-212-2-0
Sacked-Yards,5-29,3-22
Net Pass Yards,147,190
Total Yards,225,277
Fumbles-Lost,3-2,1-1
Turnovers,2,1
Penalties-Yards,6-53,3-25
Third Down Conv.,6-16,3-13
Fourth Down Conv.,0-1,2-2
Time of Possession,33:34,26:26
