Quarter,Time,Tm,Detail,NYG,SEA
2.0,12:07,Seahawks,D.K. Metcalf 3 yard pass from Geno Smith (Jason Myers kick),0,7
,5:51,Giants,Saquon Barkley 1 yard rush (Graham Gano kick),7,7
,1:38,Seahawks,Jason Myers 35 yard field goal,7,10
3.0,6:04,Giants,Graham Gano 31 yard field goal,10,10
,2:42,Seahawks,Jason Myers 51 yard field goal,10,13
4.0,11:17,Giants,Graham Gano 45 yard field goal,13,13
,9:18,Seahawks,Tyler Lockett 33 yard pass from Geno Smith (Jason Myers kick),13,20
,5:22,Seahawks,Kenneth Walker III 16 yard rush (Jason Myers kick),13,27
