Quarter,Time,Down,ToGo,Location,NYG,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Graham Gano kicks off 62 yards, returned by D'Wayne Eskridge for 26 yards (tackle by Elerson Smith)",0.000,0.870
1,14:53,1,10,SEA 29,0,0,Kenneth Walker up the middle for 3 yards (tackle by Dexter Lawrence and Jaylon Smith),0.870,0.730
1,14:22,2,7,SEA 32,0,0,Geno Smith pass complete short right to D.K. Metcalf for 6 yards (tackle by Adoree' Jackson),0.730,0.830
1,13:48,3,1,SEA 38,0,0,Kenneth Walker up the middle for 4 yards (tackle by Leonard Williams),0.830,1.730
1,13:10,1,10,SEA 42,0,0,Geno Smith pass incomplete short right intended for Kenneth Walker,1.730,1.190
1,13:02,2,10,SEA 42,0,0,Geno Smith pass incomplete short right intended for D.K. Metcalf (defended by Fabian Moreau),1.190,0.500
1,12:58,3,10,SEA 42,0,0,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by Fabian Moreau),0.500,-0.590
1,12:52,4,10,SEA 42,0,0,"Michael Dickson punts 40 yards, returned by Richie James for 10 yards (tackle by Cody Barton)",-0.590,-0.810
1,12:41,1,10,NYG 28,0,0,Daniel Jones pass complete short right to Darius Slayton for 6 yards (tackle by Michael Jackson),0.810,1.070
1,12:17,2,4,NYG 34,0,0,Daniel Jones pass incomplete short right intended for Tanner Hudson,1.070,0.370
1,12:10,3,4,NYG 34,0,0,Daniel Jones pass complete to Marcus Johnson for 3 yards (tackle by Ryan Neal),0.370,-0.910
1,11:26,4,1,NYG 37,0,0,"Jamie Gillan punts 49 yards, fair catch by DeeJay Dallas at SEA-14",-0.910,0.280
1,11:17,1,10,SEA 14,0,0,Kenneth Walker right end for 3 yards (tackle by Julian Love),-0.280,-0.370
1,10:42,2,7,SEA 17,0,0,Geno Smith pass complete to Will Dissly for 9 yards (tackle by Xavier McKinney),-0.370,0.670
1,10:02,1,10,SEA 26,0,0,Kenneth Walker right guard for 1 yard (tackle by Nick Williams),0.670,0.270
1,9:49,2,9,SEA 27,0,0,Geno Smith pass complete short right to Kenneth Walker for 1 yard (tackle by Micah McFadden),0.270,-0.300
1,8:57,3,8,SEA 28,0,0,Geno Smith pass incomplete short middle intended for D'Wayne Eskridge (defended by Adoree' Jackson),-0.300,-1.500
1,8:53,4,8,SEA 28,0,0,"Michael Dickson punts 49 yards, returned by Richie James for 12 yards (tackle by Dareke Young and Travis Homer). Penalty on Cam Brown: Defensive Illegal Blindside Block, 15 yards (accepted)",-1.500,-0.280
1,8:37,1,10,NYG 20,0,0,Daniel Jones pass complete short middle to Wan'Dale Robinson for 6 yards (tackle by Coby Bryant),0.280,0.540
1,8:03,2,4,NYG 26,0,0,Daniel Jones sacked by Cody Barton for no gain,0.540,-0.160
1,7:18,3,4,NYG 26,0,0,"Penalty on Tyre Phillips: False Start, 5 yards (accepted) (no play)",-0.160,-0.820
1,6:59,3,9,NYG 21,0,0,Daniel Jones pass complete short left to Saquon Barkley for -3 yards (tackle by Ryan Neal),-0.820,-2.240
1,6:19,4,12,NYG 18,0,0,"Jamie Gillan punts 49 yards, returned by DeeJay Dallas for 8 yards (tackle by Julian Love)",-2.240,-1.660
1,6:05,1,10,SEA 41,0,0,Geno Smith pass complete short left to Tyler Lockett for 13 yards (tackle by Jaylon Smith),1.660,2.520
1,5:35,1,10,NYG 46,0,0,Geno Smith scrambles left guard for 3 yards (tackle by Tae Crowder),2.520,2.380
1,4:53,2,7,NYG 43,0,0,Kenneth Walker right tackle for 2 yards (tackle by Tae Crowder),2.380,1.950
1,4:12,3,5,NYG 41,0,0,Geno Smith pass incomplete short right intended for Tyler Lockett (defended by Jihad Ward),1.950,0.530
1,4:09,4,5,NYG 41,0,0,"Michael Dickson punts 41 yards, touchback.",0.530,-0.280
1,4:00,1,10,NYG 20,0,0,Saquon Barkley up the middle for 3 yards (tackle by Bryan Mone and Cody Barton),0.280,0.140
1,3:23,2,7,NYG 23,0,0,Daniel Jones pass incomplete deep right intended for Lawrence Cager,0.140,-0.560
1,3:18,3,7,NYG 23,0,0,Daniel Jones pass incomplete short right intended for Marcus Johnson (defended by Michael Jackson),-0.560,-1.830
1,3:13,4,7,NYG 23,0,0,"Jamie Gillan punts 54 yards, returned by DeeJay Dallas for 8 yards (tackle by Justin Layne)",-1.830,-1.000
1,3:02,1,10,SEA 31,0,0,Geno Smith pass complete short left to Marquise Goodwin for 16 yards (tackle by Dexter Lawrence),1.000,2.060
1,2:32,1,10,SEA 47,0,0,Geno Smith pass complete short left to Noah Fant for 3 yards (tackle by Julian Love),2.060,1.920
1,1:51,2,7,SEA 50,0,0,Geno Smith sacked by Micah McFadden for -7 yards,1.920,0.300
1,1:18,,,,,,Timeout #1 by New York Giants,,
1,1:18,3,14,SEA 43,0,0,Geno Smith pass complete short left to D.K. Metcalf for 15 yards (tackle by Julian Love and Fabian Moreau),0.300,2.790
1,0:44,1,10,NYG 42,0,0,Geno Smith pass incomplete deep left intended for D.K. Metcalf,2.790,2.240
1,0:38,2,10,NYG 42,0,0,"Kenneth Walker for no gain (tackle by Jihad Ward and Leonard Williams). Penalty on Jihad Ward: Face Mask (15 Yards), 15 yards (accepted) (no play)",2.240,3.780
1,0:26,1,10,NYG 27,0,0,Kenneth Walker for 2 yards (tackle by Tomon Fox),3.780,3.500
Quarter,Time,Down,ToGo,Location,NYG,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,NYG 25,0,0,Geno Smith pass complete to Marquise Goodwin for 7 yards (tackle by Dexter Lawrence and Jaylon Smith),3.500,3.840
2,14:26,3,1,NYG 18,0,0,Geno Smith pass incomplete deep right intended for Marquise Goodwin,3.840,2.400
2,14:17,4,1,NYG 18,0,0,Geno Smith pass complete short left to Tyler Lockett for 4 yards (tackle by Darnay Holmes),2.400,4.650
2,13:45,1,10,NYG 14,0,0,Kenneth Walker for 2 yards (tackle by Leonard Williams),4.650,4.330
2,13:28,2,8,NYG 12,0,0,Geno Smith pass incomplete short left,4.330,3.430
2,13:23,3,8,NYG 12,0,0,Geno Smith scrambles right end for 6 yards (tackle by Leonard Williams),3.430,3.010
2,12:41,4,2,NYG 6,0,0,Geno Smith pass complete to Will Dissly for 3 yards (tackle by Micah McFadden),3.010,6.510
2,12:42,1,3,NYG 3,0,0,Kenneth Walker for no gain (tackle by Tomon Fox and Leonard Williams),6.510,5.530
2,12:12,2,3,NYG 3,0,6,"Geno Smith pass complete to D.K. Metcalf for 3 yards, touchdown",5.530,7.000
2,12:07,,,NYG 15,0,7,Jason Myers kicks extra point good,0.000,0.000
2,12:07,,,SEA 35,0,7,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
2,12:07,1,10,NYG 25,0,7,Saquon Barkley left end for 9 yards (tackle by Quandre Diggs),0.610,1.280
2,11:24,2,1,NYG 34,0,7,Saquon Barkley right guard for 4 yards (tackle by Ryan Neal),1.280,1.470
2,10:47,1,10,NYG 38,0,7,Saquon Barkley up the middle for no gain (tackle by Uchenna Nwosu and Al Woods),1.470,0.920
2,10:08,2,10,NYG 38,0,7,Saquon Barkley right end for 5 yards (tackle by Michael Jackson),0.920,0.890
