Unnamed: 0,CAR,ATL
First Downs,24,21
Rush-Yds-TDs,36-175-1,19-91-0
Cmp-Att-Yd-TD-INT,13-22-165-2-0,31-44-361-2-0
Sacked-Yards,3-27,1-10
Net Pass Yards,138,351
Total Yards,313,442
Fumbles-Lost,0-0,2-2
Turnovers,0,2
Penalties-Yards,3-45,10-135
Third Down Conv.,3-10,6-13
Fourth Down Conv.,0-0,0-1
Time of Possession,30:47,29:13
