Unnamed: 0,SFO,ARI
First Downs,8,24
Rush-Yds-TDs,14-51-0,34-97-0
Cmp-Att-Yd-TD-INT,17-31-160-0-1,32-46-385-2-0
Sacked-Yards,5-43,3-19
Net Pass Yards,117,366
Total Yards,168,463
Fumbles-Lost,5-3,3-3
Turnovers,4,3
Penalties-Yards,8-52,4-37
Third Down Conv.,4-12,8-19
Fourth Down Conv.,0-1,0-0
Time of Possession,22:12,37:48
