Unnamed: 0,DEN,KAN
First Downs,24,14
Rush-Yds-TDs,45-245-2,26-94-1
Cmp-Att-Yd-TD-INT,15-25-180-2-1,16-43-134-0-2
Sacked-Yards,3-12,2-6
Net Pass Yards,168,128
Total Yards,413,222
Fumbles-Lost,2-2,2-1
Turnovers,3,3
Penalties-Yards,3-20,3-25
Third Down Conv.,4-13,6-17
Fourth Down Conv.,1-1,0-2
Time of Possession,35:55,24:05
