Quarter,Time,Tm,Detail,DEN,KAN
1.0,7:20,Broncos,Daniel Graham 7 yard pass from Kyle Orton (Matt Prater kick),7,0
2.0,14:22,Chiefs,Ryan Succop 22 yard field goal,7,3
,7:03,Broncos,Knowshon Moreno 2 yard rush (Matt Prater kick),14,3
,0:23,Chiefs,Ryan Succop 47 yard field goal,14,6
3.0,13:16,Broncos,Matt Prater 44 yard field goal,17,6
,10:31,Broncos,Brandon Marshall 7 yard pass from Kyle Orton (Matt Prater kick),24,6
,5:53,Broncos,Matt Prater 38 yard field goal,27,6
,2:41,Broncos,Andre' Goodman 30 yard defensive fumble return (Matt Prater kick),34,6
4.0,14:57,Chiefs,Jamaal Charles 4 yard rush (Ryan Succop kick),34,13
,12:05,Broncos,Knowshon Moreno 18 yard rush (Matt Prater kick),41,13
,8:49,Broncos,Matt Prater 37 yard field goal,44,13
