Quarter,Time,Tm,Detail,LAR,SEA
1,13:28,Rams,Matt Gay 22 yard field goal,3,0
,7:09,Seahawks,Jason Myers 37 yard field goal,3,3
,0:15,Seahawks,Jason Myers 36 yard field goal,3,6
2,11:58,Rams,Matt Gay 45 yard field goal,6,6
,0:39,Rams,Tutu Atwell 11 yard rush (Matt Gay kick),13,6
3,9:09,Seahawks,Tyler Lockett 36 yard pass from Geno Smith (Jason Myers kick),13,13
,4:13,Rams,Matt Gay 38 yard field goal,16,13
4,2:19,Seahawks,Jason Myers 22 yard field goal,16,16
OT,4:34,Seahawks,Jason Myers 32 yard field goal,16,19
