Quarter,Time,Down,ToGo,Location,LAR,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,SEA 25,0,0,Geno Smith pass short middle intended for D.K. Metcalf is intercepted by Jalen Ramsey at SEA-39 and returned for 28 yards (tackle by Kenneth Walker),0.610,-4.840
1,14:50,1,10,SEA 11,0,0,Baker Mayfield pass incomplete short right intended for Tyler Higbee (defended by Uchenna Nwosu),4.840,4.140
1,14:49,2,10,SEA 11,0,0,Cam Akers right guard for 4 yards (tackle by Shelby Harris),4.140,3.980
1,14:12,3,6,SEA 7,0,0,Baker Mayfield pass complete short left to Cam Akers for 3 yards (tackle by Cody Barton),3.980,3.030
1,13:31,4,3,SEA 4,3,0,Matt Gay 22 yard field goal good,3.030,3.000
1,13:28,,,LAR 35,3,0,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,13:28,1,10,SEA 25,3,0,Kenneth Walker left guard for 5 yards (tackle by Marquise Copeland and Leonard Floyd),0.610,0.740
1,12:52,2,5,SEA 30,3,0,Kenneth Walker right guard for 9 yards (tackle by Ernest Jones and Earnest Brown),0.740,1.530
1,12:10,1,10,SEA 39,3,0,Geno Smith pass complete short left to Noah Fant for 3 yards (tackle by Russ Yeast),1.530,1.390
1,11:35,2,7,SEA 42,3,0,Kenneth Walker right guard for 1 yard (tackle by Earnest Brown),1.390,0.830
1,10:59,3,6,SEA 43,3,0,Geno Smith pass complete short right to Tyler Lockett for 7 yards (tackle by Troy Hill),0.830,2.260
1,10:23,1,10,SEA 50,3,0,Kenneth Walker left guard for 9 yards (tackle by Bobby Wagner),2.260,2.930
1,9:49,2,1,LAR 41,3,0,DeeJay Dallas left guard for 27 yards (tackle by Russ Yeast),2.930,4.650
1,9:05,1,10,LAR 14,3,0,"Penalty on Geno Smith: False Start, 5 yards (accepted) (no play)",4.650,4.260
1,8:42,1,15,LAR 19,3,0,Kenneth Walker left guard for 2 yards (tackle by Jonah Williams and Earnest Brown),4.260,3.590
1,8:04,2,13,LAR 17,3,0,Geno Smith sacked by Leonard Floyd for -2 yards,3.590,2.730
1,7:18,3,15,LAR 19,3,0,Geno Smith pass incomplete deep middle intended for D.K. Metcalf (defended by Troy Hill),2.730,2.180
1,7:13,4,15,LAR 19,3,3,Jason Myers 37 yard field goal good,2.180,3.000
1,7:09,,,SEA 35,3,3,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,7:09,1,10,LAR 25,3,3,Baker Mayfield sacked by Coby Bryant for -3 yards,0.610,-0.340
1,6:28,2,13,LAR 22,3,3,Baker Mayfield right end for 11 yards (tackle by Coby Bryant),-0.340,0.430
1,5:55,3,2,LAR 33,3,3,Baker Mayfield sacked by Bruce Irvin for -10 yards,0.430,-1.830
1,5:11,4,12,LAR 23,3,3,"Riley Dixon punts 46 yards, returned by DeeJay Dallas for 20 yards (tackle by Quentin Lake)",-1.830,-2.320
1,5:00,1,10,LAR 49,3,3,Kenneth Walker right guard for 4 yards (tackle by Ernest Jones),2.320,2.320
1,4:19,2,6,LAR 45,3,3,Geno Smith scrambles right end for 8 yards (tackle by Leonard Floyd),2.320,3.120
1,3:49,1,10,LAR 37,3,3,Geno Smith scrambles left end for 9 yards (tackle by Cobie Durant),3.120,3.790
1,3:10,2,1,LAR 28,3,3,Kenneth Walker right end for 6 yards (tackle by Troy Hill and Jonah Williams),3.790,4.110
1,2:32,1,10,LAR 22,3,3,Geno Smith pass complete short right to Noah Fant for 2 yards,4.110,3.830
1,1:57,2,8,LAR 20,3,3,Kenneth Walker right tackle for -1 yards (tackle by Russ Yeast),3.830,3.010
1,1:15,3,9,LAR 21,3,3,"Penalty on Charles Cross: False Start, 5 yards (accepted) (no play)",3.010,2.350
1,0:55,3,14,LAR 26,3,3,Geno Smith pass complete short middle to Noah Fant for 8 yards (tackle by Taylor Rapp),2.350,2.270
1,0:20,4,6,LAR 18,3,6,Jason Myers 36 yard field goal good,2.270,3.000
1,0:15,,,SEA 35,3,6,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,0:15,1,10,LAR 25,3,6,Cam Akers right guard for no gain (tackle by Shelby Harris and Alexander Johnson),0.610,0.060
Quarter,Time,Down,ToGo,Location,LAR,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,LAR 25,3,6,Baker Mayfield pass complete short right to Tyler Higbee for 9 yards (tackle by Coby Bryant),0.060,0.560
2,14:37,3,1,LAR 34,3,6,Cam Akers right end for 32 yards (tackle by Quandre Diggs),0.560,3.310
2,14:05,1,10,SEA 34,3,6,Cam Akers right guard for 4 yards (tackle by Cody Barton),3.310,3.310
2,13:24,2,6,SEA 30,3,6,Cam Akers left guard for 3 yards (tackle by Shelby Harris and Tariq Woolen),3.310,3.010
2,12:45,3,3,SEA 27,3,6,Baker Mayfield sacked by Boye Mafe for no gain,3.010,1.770
2,12:02,4,3,SEA 27,6,6,Matt Gay 45 yard field goal good,1.770,3.000
2,11:58,,,LAR 35,6,6,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
2,11:58,1,10,SEA 25,6,6,"Penalty on Colby Parkinson: False Start, 5 yards (accepted) (no play)",0.610,0.280
2,11:58,1,15,SEA 20,6,6,Kenneth Walker right tackle for 8 yards (tackle by Ernest Jones),0.280,0.470
2,11:17,2,7,SEA 28,6,6,Geno Smith pass complete short right to Tyler Lockett for -6 yards (tackle by Ernest Jones),0.470,-1.020
2,10:35,3,13,SEA 22,6,6,DeeJay Dallas right guard for 2 yards (tackle by Bobby Wagner),-1.020,-1.770
2,9:54,4,11,SEA 24,6,6,"Michael Dickson punts 51 yards, returned by Brandon Powell for 7 yards (tackle by Nick Bellore)",-1.770,-1.070
2,9:42,1,10,LAR 32,6,6,Baker Mayfield pass incomplete short left intended for Brandon Powell,1.070,0.530
2,9:37,2,10,LAR 32,6,6,Baker Mayfield pass complete short right to Tyler Higbee for 3 yards (tackle by Johnathan Abram),0.530,0.230
2,9:03,3,7,LAR 35,6,6,"Baker Mayfield pass incomplete short right intended for Van Jefferson. Penalty on Johnathan Abram: Illegal Contact, 5 yards (accepted) (no play)",0.230,1.600
2,8:55,1,10,LAR 40,6,6,Baker Mayfield pass complete short left to Cam Akers for 13 yards (tackle by Tanner Muse),1.600,2.460
2,8:12,1,10,SEA 47,6,6,Cam Akers right guard for 4 yards (tackle by Michael Jackson),2.460,2.450
2,7:33,2,6,SEA 43,6,6,"Baker Mayfield pass complete short right to Van Jefferson for no gain (tackle by Johnathan Abram and Cody Barton). Penalty on Chandler Brewer: Chop Block, 15 yards (accepted) (no play)",2.450,0.430
2,7:05,2,21,LAR 42,6,6,Cam Akers left guard for 3 yards (tackle by Quinton Jefferson and Shelby Harris),0.430,0.170
2,6:42,3,18,LAR 45,6,6,Baker Mayfield pass complete short left to Cam Akers for 8 yards (tackle by Johnathan Abram),0.170,0.130
2,6:05,4,10,SEA 47,6,6,"Riley Dixon punts 47 yards, touchback.",0.130,-0.280
2,5:59,1,10,SEA 20,6,6,Geno Smith pass incomplete short left,0.280,-0.270
2,5:53,2,10,SEA 20,6,6,Geno Smith pass complete short middle to Cade Johnson for 11 yards (tackle by Cobie Durant),-0.270,1.000
2,5:12,1,10,SEA 31,6,6,Kenneth Walker left guard for -2 yards (tackle by Earnest Brown),1.000,0.190
2,4:35,2,12,SEA 29,6,6,Geno Smith pass complete short right to Kenneth Walker for 10 yards (tackle by Bobby Wagner),0.190,0.830
2,3:50,,,,,,Timeout #1 by Seattle Seahawks,,
2,3:50,3,2,SEA 39,6,6,Geno Smith pass incomplete short middle intended for Colby Parkinson (defended by Quentin Lake),0.830,-0.780
2,3:46,4,2,SEA 39,6,6,Michael Dickson punts 48 yards out of bounds,-0.780,0.320
2,3:39,1,10,LAR 13,6,6,Cam Akers left guard for 4 yards (tackle by Cody Barton and Johnathan Abram),-0.320,-0.300
2,2:56,2,6,LAR 17,6,6,Baker Mayfield pass incomplete short left intended for Brycen Hopkins (defended by Cody Barton),-0.300,-0.940
2,2:49,3,6,LAR 17,6,6,Baker Mayfield pass complete deep left to Van Jefferson for 35 yards (tackle by Tariq Woolen),-0.940,2.390
2,2:20,1,10,SEA 48,6,6,Baker Mayfield pass incomplete deep left intended for Brandon Powell,2.390,1.850
2,2:14,2,10,SEA 48,6,6,Baker Mayfield pass incomplete short left intended for Tyler Higbee,1.850,1.160
2,2:13,,,,,,Timeout #2 by Seattle Seahawks,,
