Unnamed: 0,LAR,SEA
First Downs,14,22
Rush-Yds-TDs,28-146-1,36-197-0
Cmp-Att-Yd-TD-INT,13-26-147-0-1,19-31-213-1-2
Sacked-Yards,5-24,3-8
Net Pass Yards,123,205
Total Yards,269,402
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,3-35,4-20
Third Down Conv.,4-14,1-11
Fourth Down Conv.,1-1,1-1
Time of Possession,29:55,35:31
