Unnamed: 0,ARI,HOU
First Downs,20,22
Rush-Yds-TDs,25-123-1,25-111-1
Cmp-Att-Yd-TD-INT,20-30-214-1-1,28-38-338-2-3
Sacked-Yards,3-18,4-30
Net Pass Yards,196,308
Total Yards,319,419
Fumbles-Lost,2-1,0-0
Turnovers,2,3
Penalties-Yards,5-50,3-19
Third Down Conv.,3-10,9-13
Fourth Down Conv.,1-4,0-1
Time of Possession,28:45,31:15
