Quarter,Time,Tm,Detail,IND,NWE
1.0,8:16,Patriots,David Givens 7 yard pass from Tom Brady (Adam Vinatieri kick),0,7
2.0,12:44,Patriots,Adam Vinatieri 31 yard field goal,0,10
,8:06,Patriots,Adam Vinatieri 25 yard field goal,0,13
,4:08,Patriots,"Safety,",0,15
3.0,9:44,Colts,Edgerrin James 2 yard rush (Mike Vanderjagt kick),7,15
,7:20,Patriots,Adam Vinatieri 27 yard field goal,7,18
,1:32,Patriots,Adam Vinatieri 21 yard field goal,7,21
4.0,2:27,Colts,Marcus Pollard 7 yard pass from Peyton Manning (Mike Vanderjagt kick),14,21
,0:50,Patriots,Adam Vinatieri 34 yard field goal,14,24
