Quarter,Time,Down,ToGo,Location,IND,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Mike Vanderjagt kicks off 51 yards, returned by Kevin Faulk for 16 yards (tackle by Keyon Whiteside)",0.000,1.270
1,14:56,1,10,NWE 35,0,0,Antowain Smith left guard for 9 yards (tackle by Donald Strickland),1.270,1.940
1,14:15,2,1,NWE 44,0,0,Tom Brady pass incomplete intended for Christian Fauria (defended by Mike Doss),1.940,1.220
1,14:11,3,1,NWE 44,0,0,Larry Centers up the middle for no gain (tackle by Raheem Brock and Rob Morris),1.220,-0.460
1,13:30,4,1,NWE 44,0,0,Tom Brady up the middle for 2 yards (tackle by Montae Reagor),-0.460,1.990
1,12:51,1,10,NWE 46,0,0,Tom Brady pass complete to David Givens for 5 yards (tackle by Anthony Floyd),1.990,2.130
1,12:22,2,5,IND 49,0,0,Tom Brady pass incomplete intended for Troy Brown,2.130,1.420
1,12:17,3,5,IND 49,0,0,Tom Brady pass complete to Deion Branch for 14 yards,1.420,3.250
1,11:51,1,10,IND 35,0,0,Antowain Smith left end for 4 yards (tackle by Mike Doss and Rob Morris),3.250,3.240
1,11:13,2,6,IND 31,0,0,Tom Brady pass complete to David Givens for 9 yards (tackle by Walt Harris),3.240,4.110
1,10:30,,,,0,0,Timeout #1 by Indianapolis Colts,0.000,4.110
1,10:30,1,10,IND 22,0,0,Tom Brady pass complete to David Givens for 5 yards (tackle by David Macklin),4.110,4.290
1,9:44,2,5,IND 17,0,0,Antowain Smith left guard for 1 yard (tackle by Larry Tripplett and Rob Morris),4.290,3.740
1,9:02,3,4,IND 16,0,0,Tom Brady pass complete to Deion Branch for 9 yards (tackle by Anthony Floyd),3.740,5.600
1,8:19,1,7,IND 7,0,6,"Tom Brady pass complete to David Givens for 7 yards, touchdown",5.600,7.000
1,,,,IND 2,0,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,,,,NWE 30,0,7,"Adam Vinatieri kicks off 56 yards, returned by Dominic Rhodes for 13 yards (tackle by Patrick Pass)",0.000,0.740
1,8:10,1,10,IND 27,0,7,"Penalty on Rick DeMulling: False Start, 5 yards (no play)",0.740,0.410
1,8:10,1,15,IND 22,0,7,Peyton Manning pass complete to Marcus Pollard for 32 yards (tackle by Eugene Wilson),0.410,2.520
1,7:38,1,10,NWE 46,0,7,Edgerrin James left guard for 12 yards (tackle by Rodney Harrison). Penalty on Willie McGinest: Defensive Offside (Declined),2.520,3.310
1,7:19,1,10,NWE 34,0,7,Peyton Manning pass incomplete intended for Brandon Stokley,3.310,2.770
1,7:15,2,10,NWE 34,0,7,Edgerrin James left tackle for 9 yards (tackle by Roman Phifer and Rodney Harrison),2.770,3.270
1,6:34,3,1,NWE 25,0,7,Edgerrin James up the middle for 2 yards (tackle by Richard Seymour and Ted Washington),3.270,4.040
1,5:48,1,10,NWE 23,0,7,Peyton Manning pass incomplete intended for Edgerrin James,4.040,3.500
1,5:42,2,10,NWE 23,0,7,Edgerrin James right guard for 11 yards (tackle by Roman Phifer),3.500,4.780
1,5:04,1,10,NWE 12,0,7,Dominic Rhodes up the middle for 1 yard (tackle by Richard Seymour and Willie McGinest),4.780,4.270
1,4:20,2,9,NWE 11,0,7,Peyton Manning pass complete to Reggie Wayne for 6 yards (tackle by Ty Law),4.270,4.610
1,3:31,3,3,NWE 5,0,7,Peyton Manning pass incomplete intended for Marcus Pollard is intercepted by Rodney Harrison at NWE-0,4.610,-0.280
1,3:26,1,10,NWE 20,0,7,Antowain Smith left guard for 5 yards (tackle by Raheem Brock),0.280,0.410
1,2:51,2,5,NWE 25,0,7,Antowain Smith right guard for 2 yards (tackle by Montae Reagor),0.410,-0.030
1,2:11,3,3,NWE 27,0,7,Tom Brady pass complete to Troy Brown for 8 yards (tackle by Nick Harper),-0.030,1.270
1,1:32,1,10,NWE 35,0,7,Tom Brady pass complete to David Givens for 6 yards (tackle by David Thornton),1.270,1.530
1,0:56,2,4,NWE 41,0,7,Antowain Smith left guard for 9 yards (tackle by Mike Doss and Donald Strickland),1.530,2.260
1,0:20,1,10,NWE 50,0,7,Tom Brady pass incomplete intended for Deion Branch,2.260,1.710
1,0:14,2,10,NWE 50,0,7,Kevin Faulk left guard for 5 yards (tackle by Nick Harper and Montae Reagor),1.710,1.690
Quarter,Time,Down,ToGo,Location,IND,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,IND 45,0,7,Tom Brady pass complete to Troy Brown for 11 yards (tackle by Robert Mathis),1.690,3.310
2,14:23,1,10,IND 34,0,7,Tom Brady pass complete to Troy Brown for 18 yards (tackle by Donald Strickland),3.310,4.510
2,13:47,1,10,IND 16,0,7,"Penalty on Dan Koppen: False Start, 5 yards (no play)",4.510,4.170
2,13:33,1,15,IND 21,0,7,Tom Brady pass complete to Antowain Smith for 8 yards (tackle by David Thornton),4.170,4.390
2,12:59,2,7,IND 13,0,7,Tom Brady pass incomplete intended for Deion Branch,4.390,3.540
2,12:54,3,7,IND 13,0,7,Tom Brady pass incomplete intended for Troy Brown (defended by Nick Harper),3.540,2.570
2,12:48,4,7,IND 13,0,10,Adam Vinatieri 31 yard field goal good,2.570,3.000
2,,,,NWE 30,0,10,"Adam Vinatieri kicks off 60 yards, returned by Dominic Rhodes for 31 yards (tackle by Je'Rod Cherry)",0.000,1.660
2,12:38,1,10,IND 41,0,10,Peyton Manning pass incomplete intended for Marvin Harrison is intercepted by Ty Law at NWE-35 and returned for 6 yards (tackle by Rick DeMulling),1.660,-1.660
2,12:28,1,10,NWE 41,0,10,Antowain Smith left end for 2 yards (tackle by David Thornton),1.660,1.390
2,12:05,2,8,NWE 43,0,10,Tom Brady pass complete to Christian Fauria for 8 yards (tackle by David Thornton),1.390,2.320
2,11:30,1,10,IND 49,0,10,Tom Brady pass complete to David Givens for 18 yards (tackle by Walt Harris),2.320,3.510
2,11:11,1,10,IND 31,0,10,Antowain Smith left guard for 2 yards (tackle by Rob Morris and Mike Doss),3.510,3.240
2,10:34,2,8,IND 29,0,10,Tom Brady pass incomplete intended for David Givens (defended by Walt Harris),3.240,2.540
2,10:27,3,8,IND 29,0,10,Tom Brady pass incomplete intended for Deion Branch,2.540,1.500
2,10:23,4,8,IND 29,0,10,Tom Brady pass complete to Troy Brown for 16 yards (tackle by Mike Doss),1.500,4.710
2,9:38,1,10,IND 13,0,10,Antowain Smith right tackle for 4 yards (tackle by Mike Doss),4.710,4.770
2,9:01,2,6,IND 9,0,10,Antowain Smith right end for 2 yards (tackle by Larry Tripplett and Mike Doss),4.770,4.330
2,8:16,3,4,IND 7,0,10,Tom Brady pass incomplete intended for Troy Brown,4.330,2.990
2,8:11,4,4,IND 7,0,13,Adam Vinatieri 25 yard field goal good,2.990,3.000
2,,,,NWE 30,0,13,"Adam Vinatieri kicks off 67 yards, returned by Dominic Rhodes for 17 yards (tackle by Shawn Mayer)",0.000,0.280
2,8:00,1,10,IND 20,0,13,Edgerrin James left guard for 1 yard (tackle by Willie McGinest and Ty Warren),0.280,-0.130
2,7:22,2,9,IND 21,0,13,"Penalty on Ryan Diem: False Start, 5 yards (no play)",-0.130,-0.940
2,7:12,2,14,IND 16,0,13,Peyton Manning pass complete to Brandon Stokley for 6 yards (tackle by Tyrone Poole),-0.940,-0.690
2,6:28,3,8,IND 22,0,13,Peyton Manning pass complete to Reggie Wayne for 13 yards (tackle by Rodney Harrison),-0.690,1.270
2,5:53,1,10,IND 35,0,13,Edgerrin James up the middle for 2 yards (tackle by Richard Seymour and Jarvis Green),1.270,0.990
2,5:18,2,8,IND 37,0,13,Peyton Manning sacked by Jarvis Green for -9 yards,0.990,-0.890
2,4:58,3,17,IND 28,0,13,Peyton Manning pass complete to Reggie Wayne for 7 yards (tackle by Rodney Harrison),-0.890,-1.040
2,4:13,4,10,IND 35,0,15,"Hunter Smith for no gain. Hunter Smith fumbles, safety. Penalty on Hunter Smith: Illegal Scrimmage Kick (Declined)",-1.040,-2.000
2,,,,IND 20,0,15,"Hunter Smith kicks off 55 yards, returned by Troy Brown for 16 yards (tackle by Jim Nelson)",0.000,1.660
2,4:03,1,10,NWE 41,0,15,Antowain Smith left tackle for -1 yards (tackle by Josh Williams and Rob Morris),1.660,0.990
2,3:17,2,11,NWE 40,0,15,"Penalty on Tom Ashworth: False Start, 5 yards (no play)",0.990,0.310
2,3:04,2,16,NWE 35,0,15,"Tom Brady pass complete to Bethel Johnson for 6 yards (tackle by Nick Harper). Bethel Johnson fumbles (forced by Nick Harper), recovered by David Macklin at NWE-41",0.310,-2.850
2,2:53,1,10,NWE 41,0,15,Peyton Manning pass complete to Dominic Rhodes for 8 yards (tackle by Tedy Bruschi),2.850,3.390
2,2:22,2,2,NWE 33,0,15,Edgerrin James right end for -2 yards (tackle by Bobby Hamilton),3.390,2.410
2,2:00,3,4,NWE 35,0,15,Peyton Manning pass complete to Marcus Pollard for 10 yards (tackle by Tyrone Poole),2.410,3.910
2,1:34,1,10,NWE 25,0,15,Peyton Manning up the middle for 3 yards (tackle by Roman Phifer),3.910,3.770
2,1:12,2,7,NWE 22,0,15,"Peyton Manning pass complete to Marvin Harrison for 6 yards (tackle by Rodney Harrison). Marvin Harrison fumbles (forced by Rodney Harrison), recovered by Tyrone Poole at NWE-16 (tackle by Rick DeMulling)",3.770,0.140
2,1:05,1,10,NWE 16,0,15,Antowain Smith right guard for 5 yards (tackle by Donald Strickland),-0.140,0.150
2,0:21,2,5,NWE 21,0,15,Antowain Smith left end for 4 yards (tackle by Chad Bratzke),0.150,-0.200
