Unnamed: 0,SFO,ATL
First Downs,21,18
Rush-Yds-TDs,16-50-0,40-168-1
Cmp-Att-Yd-TD-INT,29-41-296-2-2,13-14-129-2-0
Sacked-Yards,0-0,2-8
Net Pass Yards,296,121
Total Yards,346,289
Fumbles-Lost,1-1,1-0
Turnovers,3,0
Penalties-Yards,5-30,5-40
Third Down Conv.,3-8,9-14
Fourth Down Conv.,0-1,0-0
Time of Possession,26:35,33:25
