Unnamed: 0,DAL,CHI
First Downs,24,33
Rush-Yds-TDs,28-198-1,32-149-1
Cmp-Att-Yd-TD-INT,14-25-144-3-0,27-36-348-4-0
Sacked-Yards,2-14,1-7
Net Pass Yards,130,341
Total Yards,328,490
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,4-50,2-15
Third Down Conv.,5-10,8-11
Fourth Down Conv.,1-2,0-0
Time of Possession,23:16,36:44
