Quarter,Time,Tm,Detail,CIN,JAX
1.0,6:10,Bengals,Mike Nugent 35 yard field goal,3,0
2.0,13:33,Jaguars,Marcedes Lewis 2 yard pass from Blaine Gabbert (Josh Scobee kick),3,7
,6:16,Bengals,Chris Pressley 1 yard pass from Andy Dalton (Mike Nugent kick),10,7
,1:11,Bengals,Andy Dalton 1 yard rush (Mike Nugent kick),17,7
3.0,3:04,Jaguars,Josh Scobee 21 yard field goal,17,10
4.0,13:51,Bengals,A.J. Green 18 yard pass from Andy Dalton (Mike Nugent kick),24,10
,12:38,Bengals,Mike Nugent 35 yard field goal,27,10
