Unnamed: 0,CIN,JAX
First Downs,20,17
Rush-Yds-TDs,34-138-1,18-69-0
Cmp-Att-Yd-TD-INT,20-31-244-2-1,23-34-186-1-1
Sacked-Yards,0-0,6-43
Net Pass Yards,244,143
Total Yards,382,212
Fumbles-Lost,2-1,1-1
Turnovers,2,2
Penalties-Yards,6-50,3-37
Third Down Conv.,2-11,2-11
Fourth Down Conv.,1-1,0-1
Time of Possession,31:19,28:41
