Quarter,Time,Down,ToGo,Location,WAS,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"Graham Gano kicks off 72 yards, returned by Darren Sproles for 27 yards (tackle by H.B. Blades)",0.000,0.610
1,14:56,1,10,SDG 25,0,0,"Penalty on Brandyn Dombrowski: False Start, 5 yards (no play)",0.610,0.280
1,14:56,1,15,SDG 20,0,0,Philip Rivers pass complete short right to Craig Davis for 9 yards (tackle by H.B. Blades),0.280,0.600
1,14:18,2,6,SDG 29,0,0,Philip Rivers pass complete deep middle to Malcom Floyd for 25 yards (tackle by Brian Orakpo),0.600,2.520
1,13:41,1,10,WAS 46,0,0,LaDainian Tomlinson left end for no gain (tackle by Carlos Rogers),2.520,1.980
1,13:02,2,10,WAS 46,0,0,Philip Rivers pass complete short left to LaDainian Tomlinson for 15 yards (tackle by H.B. Blades),1.980,3.510
1,12:16,1,10,WAS 31,0,0,Philip Rivers pass incomplete short middle intended for Darren Sproles,3.510,2.970
1,12:11,2,10,WAS 31,0,0,Philip Rivers pass incomplete deep middle intended for Antonio Gates (defended by Fred Smoot),2.970,2.280
1,12:05,3,10,WAS 31,0,0,Philip Rivers pass complete short right to LaDainian Tomlinson for 2 yards (tackle by DeAngelo Hall),2.280,1.500
1,11:27,4,8,WAS 29,0,3,Nate Kaeding 47 yard field goal good,1.500,3.000
1,,,,SDG 30,0,3,"Nate Kaeding kicks off 67 yards, returned by Rock Cartwright for 18 yards (tackle by Kassim Osgood)",0.000,0.340
1,11:18,1,10,WAS 21,0,3,Jason Campbell pass incomplete short right intended for Fred Davis,0.340,-0.200
1,11:14,2,10,WAS 21,0,3,Quinton Ganther right end for 1 yard (tackle by Steve Gregory and Larry English),-0.200,-0.760
1,10:34,3,9,WAS 22,0,3,Jason Campbell pass incomplete short right intended for Antwaan Randle El,-0.760,-1.900
1,10:29,4,9,WAS 22,0,3,"Hunter Smith punts 38 yards, returned by Darren Sproles for -1 yards (tackle by Rock Cartwright)",-1.900,-1.530
1,10:19,1,10,SDG 39,0,3,Philip Rivers pass complete short left to Craig Davis for 9 yards (tackle by Andre Carter),1.530,2.200
1,9:47,2,1,SDG 48,0,3,Philip Rivers pass incomplete short left intended for Malcom Floyd,2.200,1.490
1,9:41,3,1,SDG 48,0,3,Darren Sproles for 12 yards (tackle by London Fletcher),1.490,2.920
1,9:12,1,10,WAS 40,0,3,Philip Rivers pass complete short right to Malcom Floyd for 12 yards,2.920,3.710
1,8:45,1,10,WAS 28,0,3,Philip Rivers pass incomplete deep right intended for Antonio Gates,3.710,3.170
1,8:39,2,10,WAS 28,0,3,Philip Rivers pass complete short left to Malcom Floyd for 9 yards (tackle by Carlos Rogers),3.170,3.720
1,8:14,,,,0,3,Timeout #1 by San Diego Chargers,0.000,3.720
1,8:14,3,1,WAS 19,0,3,Philip Rivers pass incomplete deep right intended for Antonio Gates,3.720,2.340
1,8:09,4,1,WAS 19,0,3,Philip Rivers pass complete short left to Malcom Floyd for 6 yards (tackle by London Fletcher),2.340,4.710
1,7:26,1,10,WAS 13,0,3,LaDainian Tomlinson left end for 1 yard (tackle by Kareem Moore),4.710,4.220
1,6:47,2,9,WAS 12,0,3,Philip Rivers pass incomplete short middle intended for Malcom Floyd,4.220,3.280
1,6:42,3,9,WAS 12,0,9,"Philip Rivers pass complete short left to Antonio Gates for 12 yards, touchdown",3.280,7.000
1,,,,WAS 2,0,10,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,10,"Nate Kaeding kicks off 68 yards, returned by Rock Cartwright for 28 yards (tackle by Marques Harris)",0.000,0.940
1,6:30,1,10,WAS 30,0,10,Jason Campbell pass complete short left to Malcolm Kelly for 2 yards (tackle by Antonio Cromartie),0.940,0.660
1,5:59,2,8,WAS 32,0,10,Quinton Ganther middle for 9 yards (tackle by Paul Oliver and C.J. Spillman),0.660,1.660
1,5:16,1,10,WAS 41,0,10,Jason Campbell pass complete short left to Malcolm Kelly for 7 yards (tackle by Antonio Cromartie),1.660,2.070
1,4:56,2,3,WAS 48,0,10,Quinton Ganther middle for 4 yards (tackle by Kevin Burnett),2.070,2.390
1,4:19,1,10,SDG 48,0,10,Quinton Ganther middle for -4 yards (tackle by Steve Gregory),2.390,1.310
1,3:37,2,14,WAS 48,0,10,Jason Campbell pass complete short right to Santana Moss for 16 yards (tackle by Steve Gregory),1.310,3.180
1,3:06,1,10,SDG 36,0,10,"Penalty on Fred Davis: False Start, 5 yards (no play)",3.180,2.850
1,2:39,1,15,SDG 41,0,10,Jason Campbell pass incomplete short right intended for Malcolm Kelly,2.850,1.960
1,2:35,2,15,SDG 41,0,10,Jason Campbell pass complete short middle to Quinton Ganther for 7 yards (tackle by Brandon Siler),1.960,2.210
1,1:52,3,8,SDG 34,0,10,Jason Campbell pass incomplete short right intended for Santana Moss,2.210,1.060
1,1:52,4,8,SDG 34,0,10,"Penalty on Hunter Smith: Delay of Game, 5 yards (no play)",1.060,0.660
1,1:45,4,13,SDG 39,0,10,"Hunter Smith punts 19 yards, fair catch by Darren Sproles",0.660,-0.280
1,1:40,1,10,SDG 20,0,10,Billy Volek pass complete deep right to Malcom Floyd for 50 yards (tackle by Kareem Moore),0.280,3.580
1,0:55,1,10,WAS 30,0,10,Craig Davis left end for 4 yards (tackle by Kareem Moore),3.580,3.570
1,0:20,2,6,WAS 26,0,10,Billy Volek pass incomplete short middle intended for Mike Tolbert,3.570,2.870
1,0:16,3,6,WAS 26,0,10,Billy Volek pass complete short right to Malcom Floyd for 7 yards (tackle by DeAngelo Hall and Fred Smoot),2.870,4.310
Quarter,Time,Down,ToGo,Location,WAS,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,WAS 19,0,10,Michael Bennett left tackle for 4 yards (tackle by Cornelius Griffin),4.310,4.350
2,14:29,2,6,WAS 15,0,10,Michael Bennett right tackle for 3 yards (tackle by Anthony Montgomery and Rocky McIntosh),4.350,4.190
2,13:43,3,3,WAS 12,0,10,Billy Volek pass complete short right to Craig Davis for 8 yards (tackle by Kareem Moore),4.190,6.280
2,13:04,1,4,WAS 4,0,10,Michael Bennett middle for -4 yards (tackle by Rocky McIntosh and H.B. Blades),6.280,4.570
2,12:22,2,8,WAS 8,0,10,Michael Bennett right tackle for 2 yards (tackle by Kedric Golston and Lorenzo Alexander),4.570,4.040
2,11:42,3,6,WAS 6,0,10,Billy Volek pass incomplete short right intended for Malcom Floyd,4.040,2.990
2,11:38,4,6,WAS 6,0,13,Nate Kaeding 24 yard field goal good,2.990,3.000
2,,,,SDG 30,0,13,"Nate Kaeding kicks off 67 yards, returned by Rock Cartwright for 22 yards (tackle by Mike Tolbert)",0.000,0.610
2,11:28,1,10,WAS 25,0,13,Jason Campbell pass complete short left to Santana Moss for 2 yards (tackle by Antoine Cason),0.610,0.330
2,10:54,2,8,WAS 27,0,13,Jason Campbell pass complete short left to Malcolm Kelly for 4 yards (tackle by Antoine Cason),0.330,0.170
2,10:22,3,4,WAS 31,0,13,Jason Campbell pass complete short right to Antwaan Randle El for 12 yards (tackle by Dante Hughes),0.170,1.800
2,9:47,1,10,WAS 43,0,13,Marcus Mason middle for no gain (tackle by Marques Harris),1.800,1.250
2,9:12,2,10,WAS 43,0,13,Jason Campbell pass incomplete short left intended for Santana Moss (defended by Travis Johnson),1.250,0.560
2,9:07,3,10,WAS 43,0,13,Jason Campbell pass complete short right to Rock Cartwright for 19 yards (tackle by Paul Oliver),0.560,3.050
2,8:46,1,10,SDG 38,0,13,Marcus Mason left end for no gain (tackle by Antonio Garay and Brandon Siler),3.050,2.510
2,8:09,2,10,SDG 38,0,13,Jason Campbell pass complete deep left to Santana Moss for 16 yards (tackle by Antoine Cason),2.510,4.110
2,7:27,1,10,SDG 22,0,13,Jason Campbell pass complete short right to Malcolm Kelly for 12 yards (tackle by Kevin Ellison),4.110,4.910
2,6:49,1,10,SDG 10,0,13,Marcus Mason middle for 5 yards (tackle by Tim Dobbins and Antonio Garay),4.910,5.150
2,6:05,2,5,SDG 5,0,13,Jason Campbell pass complete short right to Mike Sellers for 3 yards (tackle by Kevin Burnett),5.150,4.950
