Quarter,Time,Tm,Detail,WAS,SDG
1.0,11:22,Chargers,Nate Kaeding 47 yard field goal,0,3
,6:36,Chargers,Antonio Gates 12 yard pass from Philip Rivers (Nate Kaeding kick),0,10
2.0,11:34,Chargers,Nate Kaeding 24 yard field goal,0,13
,5:16,Redskins,Todd Yoder 2 yard pass from Jason Campbell (Graham Gano kick),7,13
,0:39,Redskins,Mike Sellers 3 yard pass from Jason Campbell (Graham Gano kick),14,13
3.0,9:06,Redskins,Graham Gano 22 yard field goal,17,13
4.0,12:06,Chargers,Nate Kaeding 45 yard field goal,17,16
,4:33,Redskins,Graham Gano 25 yard field goal,20,16
,0:35,Chargers,Mike Tolbert 2 yard pass from Billy Volek (Nate Kaeding kick),20,23
