Unnamed: 0,WAS,SDG
First Downs,18,19
Rush-Yds-TDs,22-66-0,17-50-0
Cmp-Att-Yd-TD-INT,28-42-281-2-0,28-45-315-2-1
Sacked-Yards,1-6,1-1
Net Pass Yards,275,314
Total Yards,341,364
Fumbles-Lost,2-0,0-0
Turnovers,0,1
Penalties-Yards,3-14,2-17
Third Down Conv.,8-16,6-13
Fourth Down Conv.,0-1,1-1
Time of Possession,32:33,27:27
