Quarter,Time,Tm,Detail,DAL,NWE
1.0,0:45,Patriots,N'Keal Harry 10 yard pass from Tom Brady (Nick Folk kick),0,7
2.0,12:46,Patriots,Nick Folk 44 yard field goal,0,10
,8:36,Cowboys,Brett Maher 46 yard field goal,3,10
,2:28,Cowboys,Brett Maher 27 yard field goal,6,10
4.0,9:32,Patriots,Nick Folk 42 yard field goal,6,13
,6:04,Cowboys,Brett Maher 29 yard field goal,9,13
