Unnamed: 0,DAL,NWE
First Downs,16,17
Rush-Yds-TDs,26-109-0,27-101-0
Cmp-Att-Yd-TD-INT,19-33-212-0-1,17-37-190-1-0
Sacked-Yards,0-0,2-9
Net Pass Yards,212,181
Total Yards,321,282
Fumbles-Lost,2-0,1-0
Turnovers,1,0
Penalties-Yards,7-50,6-56
Third Down Conv.,2-13,3-14
Fourth Down Conv.,0-1,0-1
Time of Possession,30:22,29:38
