Unnamed: 0,PIT,TEN
First Downs,23,15
Rush-Yds-TDs,25-94-1,23-82-1
Cmp-Att-Yd-TD-INT,32-49-268-2-3,18-31-220-2-0
Sacked-Yards,0-0,2-10
Net Pass Yards,268,210
Total Yards,362,292
Fumbles-Lost,2-0,1-0
Turnovers,3,0
Penalties-Yards,8-69,7-73
Third Down Conv.,13-18,5-13
Fourth Down Conv.,0-0,0-1
Time of Possession,36:37,23:23
