Quarter,Time,Down,ToGo,Location,MIA,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Dan Carpenter kicks off 68 yards, returned by Devin Thomas for 18 yards (tackle by Nolan Carroll)",0.000,-0.220
1,14:56,1,10,NYG 15,0,0,Eli Manning pass complete short left to Hakeem Nicks for 6 yards (tackle by Sean Smith),-0.220,0.210
1,14:29,2,4,NYG 21,0,0,Ahmad Bradshaw right end for no gain (tackle by Kendall Langford),0.210,-0.630
1,13:46,3,4,NYG 21,0,0,Eli Manning pass complete short middle to Victor Cruz for 17 yards (tackle by Jimmy Wilson),-0.630,1.470
1,13:11,1,10,NYG 38,0,0,Ahmad Bradshaw left tackle for 8 yards (tackle by Tyrone Culver),1.470,2.000
1,12:35,2,2,NYG 46,0,0,Eli Manning pass complete short left to Hakeem Nicks for 2 yards (tackle by Sean Smith and Koa Misi),2.000,2.130
1,11:52,1,10,NYG 48,0,0,Eli Manning pass complete short middle to Hakeem Nicks for 17 yards (tackle by Sean Smith and Yeremiah Bell),2.130,3.250
1,11:09,1,10,MIA 35,0,0,Eli Manning pass incomplete deep left intended for Hakeem Nicks,3.250,2.700
1,10:55,2,10,MIA 35,0,0,Ahmad Bradshaw left end for 1 yard (tackle by Sean Smith and Will Allen),2.700,2.150
1,10:18,3,9,MIA 34,0,0,Eli Manning pass incomplete short left intended for Hakeem Nicks,2.150,1.060
1,10:13,4,9,MIA 34,0,0,Eli Manning pass incomplete deep middle intended for Mario Manningham,1.060,-1.200
1,10:06,1,10,MIA 34,0,0,Reggie Bush up the middle for 3 yards (tackle by Chris L. Canty and Rocky Bernard),1.200,1.060
1,9:32,2,7,MIA 37,0,0,Matt Moore pass complete short right to Reggie Bush for 4 yards (tackle by Michael Boley),1.060,0.890
1,8:49,3,3,MIA 41,0,0,Matt Moore pass complete short left to Reggie Bush for 9 yards (tackle by Antrel Rolle),0.890,2.260
1,8:24,1,10,,0,0,Reggie Bush right end for -3 yards (tackle by Kenny Phillips),2.260,1.310
1,7:41,2,13,MIA 47,0,0,Matt Moore pass complete short right to Brandon Marshall for 4 yards (tackle by Corey Webster),1.310,1.160
1,7:17,3,9,NYG 49,0,0,Matt Moore up the middle for 16 yards (tackle by Michael Boley),1.160,3.380
1,6:34,1,10,NYG 33,0,0,Matt Moore pass complete deep left to Charles Clay for 16 yards,3.380,4.440
1,6:07,1,10,NYG 17,0,0,Reggie Bush right end for 4 yards (tackle by Kenny Phillips and Corey Webster),4.440,4.500
1,5:24,2,6,NYG 13,0,0,Steve Slaton left end for no gain (tackle by Mathias Kiwanuka and Jason Pierre-Paul),4.500,3.680
1,4:43,3,6,NYG 13,0,0,"Matt Moore pass incomplete short right intended for Brian Hartline. Penalty on Aaron Ross: Defensive Pass Interference, 12 yards (no play)",3.680,6.970
1,4:36,1,1,NYG 1,0,0,Steve Slaton left guard for no gain (tackle by Jason Pierre-Paul and Kenny Phillips). Penalty on Linval Joseph: Unnecessary Roughness (no play),6.970,6.970
1,4:17,1,1,NYG 1,6,0,"Steve Slaton up the middle for 1 yard, touchdown",6.970,7.000
1,,,,NYG 2,7,0,Dan Carpenter kicks extra point good,0.000,0.000
1,,,,MIA 35,7,0,"Dan Carpenter kicks off 68 yards, returned by Devin Thomas for 40 yards (tackle by Dan Carpenter)",0.000,1.400
1,4:03,1,10,NYG 37,7,0,Ahmad Bradshaw left end for 18 yards (tackle by Tyrone Culver),1.400,2.590
1,3:41,1,10,MIA 45,7,0,Eli Manning pass complete short left to Mario Manningham for 12 yards,2.590,3.380
1,3:08,1,10,MIA 33,7,0,Eli Manning pass complete deep middle to Jake Ballard for 21 yards (tackle by Kevin Burnett). Penalty on Jared Odrick: Defensive Offside (Declined),3.380,4.780
1,2:44,1,10,MIA 12,7,0,"Ahmad Bradshaw right end for 3 yards (tackle by Cameron Wake and Kevin Burnett). Penalty on Bear Pascoe: Offensive Holding, 10 yards (no play)",4.780,4.110
1,2:17,1,20,MIA 22,7,0,"Penalty on Chris Snee: False Start, 5 yards (no play)",4.110,3.780
1,1:53,1,25,MIA 27,7,0,Eli Manning pass complete short left to Victor Cruz for 6 yards (tackle by Sean Smith),3.780,3.010
1,1:11,2,19,MIA 21,7,0,Eli Manning pass complete short middle to Mario Manningham for 14 yards (tackle by Karlos Dansby),3.010,4.160
1,0:29,3,5,MIA 7,7,0,Eli Manning pass incomplete short middle intended for Jake Ballard,4.160,2.980
1,0:21,4,5,MIA 7,7,3,Lawrence Tynes 25 yard field goal good,2.980,3.000
1,,,,NYG 35,7,3,"Lawrence Tynes kicks off 63 yards, returned by Steve Slaton for 18 yards (tackle by Dave Tollefson). Penalty on Jason Trusnik: Low Block, 10 yards",0.000,-0.380
1,0:12,1,10,MIA 10,7,3,Matt Moore pass complete short middle to Brandon Marshall for 20 yards (tackle by Mathias Kiwanuka),-0.380,0.940
Quarter,Time,Down,ToGo,Location,MIA,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIA 30,7,3,Reggie Bush up the middle for 4 yards (tackle by Greg Jones and Chris L. Canty),0.940,0.930
2,14:21,2,6,MIA 34,7,3,Matt Moore pass complete short middle to Reggie Bush for 5 yards (tackle by Mathias Kiwanuka),0.930,0.890
2,13:43,3,1,MIA 39,7,3,Lex Hilliard up the middle for 4 yards (tackle by Rocky Bernard and Mathias Kiwanuka),0.890,1.800
2,13:00,1,10,MIA 43,7,3,Matt Moore pass incomplete deep left intended for Brian Hartline,1.800,1.250
2,12:51,2,10,MIA 43,7,3,Matt Moore for 4 yards (tackle by Aaron Ross),1.250,1.090
2,12:15,,,,7,3,Timeout #1 by Miami Dolphins,0.000,1.090
2,12:15,3,6,MIA 47,7,3,Matt Moore left tackle for 11 yards (tackle by Michael Boley),1.090,2.790
2,11:36,1,10,NYG 42,7,3,"Reggie Bush up the middle for 35 yards (tackle by Antrel Rolle). Penalty on Antrel Rolle: Horse Collar Tackle, 4 yards",2.790,6.510
2,11:06,1,3,NYG 3,7,3,Matt Moore pass incomplete short right intended for Lex Hilliard,6.510,5.530
2,11:03,2,3,NYG 3,7,3,Steve Slaton left tackle for 2 yards (tackle by Greg Jones and Linval Joseph),5.530,5.170
2,10:25,3,1,NYG 1,7,3,Steve Slaton right tackle for no gain (tackle by Michael Boley and Antrel Rolle),5.170,3.550
2,9:44,4,1,NYG 1,13,3,"Matt Moore right end for 1 yard, touchdown",3.550,7.000
2,,,,NYG 2,14,3,Dan Carpenter kicks extra point good,0.000,0.000
2,,,,MIA 35,14,3,"Dan Carpenter kicks off 70 yards, returned by Devin Thomas for 20 yards (tackle by Marvin Mitchell)",0.000,-0.220
2,9:30,1,10,NYG 15,14,3,"Eli Manning for no gain. Eli Manning fumbles, recovered by Brandon Jacobs at NYG-12 and returned for 3 yards",-0.220,-0.710
2,9:14,2,10,NYG 15,14,3,Ahmad Bradshaw right guard for -1 yards (tackle by Kevin Burnett and Randy Starks),-0.710,-1.510
2,8:31,3,11,NYG 14,14,3,Eli Manning pass complete short left to Mario Manningham for 14 yards,-1.510,0.810
2,8:12,1,10,NYG 28,14,3,Eli Manning pass incomplete short left intended for Brandon Jacobs,0.810,0.260
2,7:58,,,,14,3,Timeout #1 by New York Giants,0.000,0.260
2,7:58,2,10,NYG 28,14,3,Eli Manning pass incomplete deep right intended for Hakeem Nicks (defended by Sean Smith),0.260,-0.430
2,7:51,3,10,NYG 28,14,3,Eli Manning pass incomplete short left intended for Jake Ballard,-0.430,-1.500
2,7:44,4,10,NYG 28,14,3,"Steve Weatherford punts 55 yards, returned by Davone Bess for 13 yards (tackle by Justin Tryon)",-1.500,-0.940
2,7:34,1,10,MIA 30,14,3,Reggie Bush left tackle for 3 yards (tackle by Aaron Ross and Chris L. Canty),0.940,0.800
2,7:01,2,7,MIA 33,14,3,Matt Moore pass complete short right to Reggie Bush for -1 yards (tackle by Michael Boley),0.800,-0.030
2,6:16,3,8,MIA 32,14,3,Matt Moore pass complete short left to Davone Bess for 14 yards (tackle by Kenny Phillips),-0.030,1.990
2,5:47,1,10,MIA 46,14,3,Matt Moore sacked by Linval Joseph for -7 yards,1.990,0.510
2,5:16,2,17,MIA 39,14,3,Steve Slaton up the middle for 4 yards (tackle by Linval Joseph and Dave Tollefson),0.510,0.370
2,4:31,3,13,MIA 43,14,3,Matt Moore pass incomplete deep middle intended for Davone Bess (defended by Corey Webster),0.370,-0.520
2,4:19,4,13,MIA 43,14,3,"Brandon Fields punts 44 yards, returned by Aaron Ross for 3 yards (tackle by Marlon Moore)",-0.520,0.140
2,4:09,1,10,NYG 16,14,3,Eli Manning sacked by Randy Starks and Tony McDaniel for -5 yards,-0.140,-1.150
2,3:42,2,15,NYG 11,14,3,Ahmad Bradshaw up the middle for 2 yards (tackle by Will Allen),-1.150,-1.750
2,3:03,3,13,NYG 13,14,3,"Penalty on Randy Starks: Neutral Zone Infraction, 5 yards (no play)",-1.750,-1.070
2,2:38,3,8,NYG 18,14,3,Eli Manning pass complete short left to Victor Cruz for 11 yards (tackle by Kevin Burnett),-1.070,0.870
2,2:08,1,10,NYG 29,14,3,Ahmad Bradshaw left guard for 5 yards (tackle by Kevin Burnett and Jason Taylor),0.870,1.000
2,2:00,2,5,NYG 34,14,3,Eli Manning pass complete short left to Ahmad Bradshaw for 10 yards (tackle by Karlos Dansby),1.000,1.860
2,1:40,1,10,NYG 44,14,3,Eli Manning pass complete short left to Hakeem Nicks for 12 yards,1.860,2.650
2,1:35,1,10,MIA 44,14,3,Eli Manning pass complete short right to Jake Ballard for 6 yards (tackle by Yeremiah Bell),2.650,2.920
2,1:14,2,4,MIA 38,14,3,Eli Manning pass complete short right to Victor Cruz for 7 yards (tackle by Will Allen),2.920,3.510
2,1:06,,,,14,3,Timeout #2 by New York Giants,0.000,3.510
2,1:06,1,10,MIA 31,14,3,Eli Manning pass incomplete short left intended for Mario Manningham,3.510,2.970
2,1:01,2,10,MIA 31,14,3,Eli Manning pass complete short middle to Ahmad Bradshaw for 15 yards (tackle by Tyrone Culver and Kendall Langford),2.970,4.510
2,0:38,1,10,MIA 16,14,3,Eli Manning pass complete short middle to Jake Ballard for 6 yards (tackle by Karlos Dansby and Kevin Burnett),4.510,4.970
