Unnamed: 0,OAK,IND
First Downs,18,25
Rush-Yds-TDs,13-53-1,40-150-1
Cmp-Att-Yd-TD-INT,28-44-245-1-3,16-26-198-3-1
Sacked-Yards,4-29,1-10
Net Pass Yards,216,188
Total Yards,269,338
Fumbles-Lost,2-0,0-0
Turnovers,3,1
Penalties-Yards,9-59,2-20
Third Down Conv.,4-12,6-11
Fourth Down Conv.,0-2,0-0
Time of Possession,24:59,35:01
