Quarter,Time,Down,ToGo,Location,OAK,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 61 yards, returned by James Mungro for 21 yards (tackle by Marques Anderson). Penalty on Tim Johnson: Face Mask (15 Yards), 15 yards",0.000,1.930
1,14:56,1,10,IND 45,0,0,Edgerrin James right tackle for 4 yards (tackle by Danny Clark and Warren Sapp),1.930,1.920
1,14:18,2,6,IND 49,0,0,Edgerrin James up the middle for 3 yards (tackle by Bobby Hamilton),1.920,1.620
1,13:34,3,3,OAK 48,0,0,"Penalty on Tyler Brayton: Defensive Offside, 5 yards (no play)",1.620,2.720
1,13:10,1,10,OAK 43,0,0,Edgerrin James right tackle for 1 yard (tackle by Bobby Hamilton),2.720,2.310
1,12:27,2,9,OAK 42,0,0,Peyton Manning pass incomplete intended for Reggie Wayne,2.310,1.620
1,12:23,3,9,OAK 42,0,0,Peyton Manning pass complete to Brandon Stokley for 25 yards (tackle by Travian Smith),1.620,4.440
1,11:41,1,10,OAK 17,0,0,Edgerrin James right end for 2 yards (tackle by Charles Woodson),4.440,4.150
1,11:06,2,8,OAK 15,0,0,Peyton Manning pass complete to Reggie Wayne for 11 yards (tackle by Phillip Buchanon),4.150,6.280
1,10:26,1,4,OAK 4,0,0,Edgerrin James right end for -1 yards (tackle by Bobby Hamilton and Ray Buchanan),6.280,5.150
1,9:46,2,5,OAK 5,0,0,Edgerrin James up the middle for 4 yards (tackle by Travian Smith and Danny Clark),5.150,5.170
1,9:03,3,1,OAK 1,0,6,"Peyton Manning pass complete to James Mungro for 1 yard, touchdown",5.170,7.000
1,,,,OAK 2,0,7,Matt Bryant kicks extra point good,0.000,0.000
1,,,,IND 30,0,7,"Matt Bryant kicks off 70 yards, returned by Doug Gabriel for 41 yards (tackle by Matt Bryant)",0.000,1.660
1,8:50,1,10,OAK 41,0,7,Amos Zereoue left tackle for 3 yards (tackle by Rob Morris and Cato June),1.660,1.530
1,8:15,2,7,OAK 44,0,7,Kerry Collins pass complete to Ronald Curry for 3 yards (tackle by Jason David),1.530,1.220
1,7:37,3,4,OAK 47,0,7,Kerry Collins pass complete to Jerry Porter for 8 yards (tackle by Von Hutchins),1.220,2.590
1,7:11,1,10,IND 45,0,7,Kerry Collins pass incomplete intended for Doug Gabriel,2.590,2.040
1,7:04,2,10,IND 45,0,7,Amos Zereoue up the middle for 5 yards (tackle by Rob Morris and Idrees Bashir),2.040,2.010
1,6:19,3,5,IND 40,0,7,Kerry Collins pass incomplete intended for Ronald Curry is intercepted by Nick Harper at IND-20,2.010,-0.280
,,,,,,,"IND challenged the ruling, and the original play was overturned.",,
1,6:11,1,10,IND 20,0,7,Edgerrin James left end for 7 yards (tackle by Napoleon Harris),0.280,0.680
1,5:34,2,3,IND 27,0,7,Edgerrin James up the middle for 4 yards (tackle by Warren Sapp and Bobby Hamilton),0.680,1.000
1,4:59,1,10,IND 31,0,7,Peyton Manning pass incomplete intended for Edgerrin James (defended by Danny Clark),1.000,0.460
1,4:53,2,10,IND 31,0,7,Peyton Manning pass complete to Marvin Harrison for 4 yards (tackle by Charles Woodson),0.460,0.300
1,4:07,3,6,IND 35,0,7,Peyton Manning pass incomplete intended for Reggie Wayne. Penalty on Marvin Harrison: Offensive Pass Interference (Declined),0.300,-1.040
1,3:58,4,6,IND 35,0,7,"Hunter Smith punts 48 yards, returned by Phillip Buchanon for 10 yards (tackle by Robert Mathis)",-1.040,-0.740
1,3:47,1,10,OAK 27,0,7,Amos Zereoue right end for 12 yards (tackle by Cory Bird and Idrees Bashir),0.740,1.530
1,3:18,1,10,OAK 39,0,7,Amos Zereoue up the middle for 2 yards (tackle by Nick Harper),1.530,1.260
1,2:41,2,8,OAK 41,0,7,"Kerry Collins sacked by Robert Mathis for -3 yards. Kerry Collins fumbles (forced by Robert Mathis), recovered by Kerry Collins at OAK-38",1.260,0.170
1,2:41,3,11,OAK 38,0,7,"Penalty on Kerry Collins: Delay of Game, 5 yards (no play)",0.170,-0.490
1,1:43,3,16,OAK 33,0,7,Kerry Collins pass incomplete intended for J.R. Redmond,-0.490,-1.180
1,1:39,4,16,OAK 33,0,7,"Shane Lechler punts 47 yards, returned by Jason David for 8 yards (tackle by Ronald Curry)",-1.180,-0.810
1,1:29,1,10,IND 28,0,7,Edgerrin James left end for 3 yards (tackle by John Parrella),0.810,0.670
1,0:48,2,7,IND 31,0,7,Peyton Manning pass complete to Edgerrin James for 7 yards (tackle by Travian Smith),0.670,1.470
1,0:04,1,10,IND 38,0,7,Edgerrin James left end for 13 yards (tackle by Danny Clark),1.470,2.320
Quarter,Time,Down,ToGo,Location,OAK,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,OAK 49,0,7,Edgerrin James left end for 3 yards (tackle by Danny Clark and Tyler Brayton),2.320,2.190
2,14:20,2,7,OAK 46,0,7,Peyton Manning pass complete to Marvin Harrison for 6 yards (tackle by Ray Buchanan),2.190,2.280
2,13:35,3,1,OAK 40,0,7,Peyton Manning pass incomplete intended for Dallas Clark,2.280,0.590
2,13:35,4,1,OAK 40,0,7,"Penalty on Tyler Brayton: Neutral Zone Infraction, 5 yards (no play)",0.590,3.250
