Unnamed: 0,TAM,NOR
First Downs,13,18
Rush-Yds-TDs,30-72-0,20-100-0
Cmp-Att-Yd-TD-INT,18-34-190-1-0,25-40-236-1-3
Sacked-Yards,1-2,6-28
Net Pass Yards,188,208
Total Yards,260,308
Fumbles-Lost,1-1,4-2
Turnovers,1,5
Penalties-Yards,8-101,9-60
Third Down Conv.,5-17,4-13
Fourth Down Conv.,0-1,0-1
Time of Possession,29:42,30:18
