Unnamed: 0,GNB,MIN
First Downs,26,17
Rush-Yds-TDs,34-102-1,24-131-0
Cmp-Att-Yd-TD-INT,30-43-365-3-1,16-23-285-3-0
Sacked-Yards,1-7,0-0
Net Pass Yards,358,285
Total Yards,460,416
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,4-25,9-78
Third Down Conv.,8-16,5-10
Fourth Down Conv.,2-2,0-0
Time of Possession,34:13,25:47
