Quarter,Time,Tm,Detail,DAL,WAS
1.0,6:28,Redskins,Clinton Portis 23 yard rush (Shaun Suisham kick),0,7
2.0,11:15,Redskins,Shaun Suisham 46 yard field goal,0,10
,4:58,Cowboys,Nick Folk 37 yard field goal,3,10
,0:01,Redskins,Shaun Suisham 21 yard field goal,3,13
3.0,6:48,Redskins,Clinton Portis 1 yard rush (Shaun Suisham kick),3,20
4.0,11:58,Redskins,Santana Moss 42 yard pass from Todd Collins (Shaun Suisham kick),3,27
,8:37,Cowboys,Nick Folk 30 yard field goal,6,27
