Unnamed: 0,DAL,WAS
First Downs,7,22
Rush-Yds-TDs,16-1-0,37-131-2
Cmp-Att-Yd-TD-INT,14-27-165-0-1,22-31-244-1-0
Sacked-Yards,2-19,3-21
Net Pass Yards,146,223
Total Yards,147,354
Fumbles-Lost,0-0,3-2
Turnovers,1,2
Penalties-Yards,5-37,5-37
Third Down Conv.,0-11,9-15
Fourth Down Conv.,0-1,0-0
Time of Possession,22:52,37:08
