Quarter,Time,Tm,Detail,TAM,ATL
1,6:50,Falcons,Jason Elam 26 yard field goal,0,3
,1:01,Falcons,Michael Turner 1 yard rush (Jason Elam kick),0,10
2,0:11,Buccaneers,Antonio Bryant 20 yard pass from Brian Griese (Matt Bryant kick),7,10
4,0:44,Buccaneers,Matt Bryant 38 yard field goal,10,10
OT,4:04,Falcons,Jason Elam 34 yard field goal,10,13
