Unnamed: 0,TAM,ATL
First Downs,19,18
Rush-Yds-TDs,26-99-0,43-175-1
Cmp-Att-Yd-TD-INT,26-37-269-1-1,15-23-206-0-2
Sacked-Yards,4-43,1-8
Net Pass Yards,226,198
Total Yards,325,373
Fumbles-Lost,0-0,3-1
Turnovers,1,3
Penalties-Yards,11-76,3-20
Third Down Conv.,3-14,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,34:46,36:10
