Unnamed: 0,CAR,ATL
First Downs,17,16
Rush-Yds-TDs,35-194-1,16-63-0
Cmp-Att-Yd-TD-INT,10-16-114-1-0,29-47-260-0-2
Sacked-Yards,1-2,6-35
Net Pass Yards,112,225
Total Yards,306,288
Fumbles-Lost,0-0,1-1
Turnovers,0,3
Penalties-Yards,5-36,6-36
Third Down Conv.,4-10,7-16
Fourth Down Conv.,0-1,1-3
Time of Possession,31:13,28:47
