Quarter,Time,Tm,Detail,CAR,ATL
1.0,7:50,Panthers,Graham Gano 21 yard field goal,3,0
,0:04,Panthers,Ed Dickson 5 yard pass from Cam Newton (Graham Gano kick),10,0
2.0,10:36,Falcons,Matt Bryant 21 yard field goal,10,3
,4:18,Panthers,Roman Harper 31 yard interception return (Graham Gano kick),17,3
,1:47,Panthers,Cam Newton 4 yard rush (Graham Gano kick),24,3
3.0,8:43,Panthers,Graham Gano 48 yard field goal,27,3
,0:07,Panthers,Tre Boston 84 yard interception return (Graham Gano kick),34,3
