Quarter,Time,Tm,Detail,HOU,WAS
1.0,6:46,Texans,Kris Brown 46 yard field goal,3,0
,3:29,Redskins,Rock Cartwright 12 yard pass from Patrick Ramsey (Jose Cortez kick),3,7
2.0,13:21,Redskins,"Safety,",3,9
,1:09,Redskins,Derrius Thompson 13 yard pass from Patrick Ramsey (Jose Cortez kick),3,16
4.0,14:16,Redskins,Ladell Betts 3 yard rush (Jose Cortez kick),3,23
,9:34,Texans,Kevin Williams blocked punt recovery in end zone (Kris Brown kick),10,23
,2:55,Redskins,Jose Cortez 23 yard field goal,10,26
