Unnamed: 0,HOU,WAS
First Downs,10,27
Rush-Yds-TDs,24-67-0,46-247-1
Cmp-Att-Yd-TD-INT,12-31-112-0-1,14-31-190-2-0
Sacked-Yards,3-13,0-0
Net Pass Yards,99,190
Total Yards,166,437
Fumbles-Lost,4-2,1-0
Turnovers,3,0
Penalties-Yards,10-83,6-60
Third Down Conv.,4-15,7-17
Fourth Down Conv.,0-2,0-0
Time of Possession,23:02,36:58
