Unnamed: 0,CIN,CLE
First Downs,11,24
Rush-Yds-TDs,18-79-0,41-205-1
Cmp-Att-Yd-TD-INT,15-29-136-1-0,17-24-176-2-1
Sacked-Yards,4-33,1-5
Net Pass Yards,103,171
Total Yards,182,376
Fumbles-Lost,1-0,2-1
Turnovers,0,2
Penalties-Yards,4-32,4-46
Third Down Conv.,5-14,6-12
Fourth Down Conv.,1-1,0-1
Time of Possession,29:04,30:56
