Unnamed: 0,PHI,DET
First Downs,19,15
Rush-Yds-TDs,19-59-1,18-77-0
Cmp-Att-Yd-TD-INT,29-42-356-2-0,21-39-199-2-0
Sacked-Yards,2-13,5-20
Net Pass Yards,343,179
Total Yards,402,256
Fumbles-Lost,2-1,2-1
Turnovers,1,1
Penalties-Yards,7-54,6-39
Third Down Conv.,6-14,4-14
Fourth Down Conv.,0-0,0-2
Time of Possession,32:58,27:02
