Quarter,Time,Tm,Detail,PHI,DET
1.0,2:08,Eagles,Donovan McNabb 1 yard rush (David Akers kick),7,0
,1:28,Eagles,Terrell Owens 29 yard pass from Donovan McNabb (David Akers kick),14,0
2.0,5:59,Eagles,Mike Bartrum 1 yard pass from Donovan McNabb (David Akers kick),21,0
,0:20,Lions,Roy Williams 12 yard pass from Joey Harrington (Jason Hanson kick),21,7
3.0,9:41,Eagles,David Akers 26 yard field goal,24,7
,6:42,Eagles,David Akers 47 yard field goal,27,7
4.0,10:22,Eagles,David Akers 39 yard field goal,30,7
,8:34,Lions,Roy Williams 29 yard pass from Joey Harrington (pass failed),30,13
