Unnamed: 0,BAL,CLE
First Downs,12,12
Rush-Yds-TDs,32-129-0,23-54-0
Cmp-Att-Yd-TD-INT,15-36-151-0-2,22-37-199-1-1
Sacked-Yards,2-13,5-27
Net Pass Yards,138,172
Total Yards,267,226
Fumbles-Lost,2-1,4-2
Turnovers,3,3
Penalties-Yards,8-64,9-64
Third Down Conv.,4-18,6-18
Fourth Down Conv.,0-2,0-1
Time of Possession,29:34,30:26
