Quarter,Time,Tm,Detail,DET,MIN
1.0,0:18,Vikings,"Safety, Dan Orlovsky sacked out of bounds in the end zone by Jared Allen.",0,2
2.0,1:56,Lions,Jason Hanson 40 yard field goal,3,2
3.0,8:22,Lions,Calvin Johnson 12 yard pass from Dan Orlovsky (Jason Hanson kick),10,2
,4:33,Vikings,Bernard Berrian 86 yard pass from Gus Frerotte (Ryan Longwell kick),10,9
4.0,0:09,Vikings,Ryan Longwell 26 yard field goal,10,12
