Unnamed: 0,DET,MIN
First Downs,8,23
Rush-Yds-TDs,24-100-0,31-135-0
Cmp-Att-Yd-TD-INT,12-21-150-1-0,18-33-296-1-1
Sacked-Yards,6-38,5-39
Net Pass Yards,112,257
Total Yards,212,392
Fumbles-Lost,3-1,4-2
Turnovers,1,3
Penalties-Yards,5-96,7-99
Third Down Conv.,2-13,3-15
Fourth Down Conv.,0-0,0-0
Time of Possession,27:28,32:32
