Quarter,Time,Down,ToGo,Location,WAS,SEA,Detail,EPB,EPA
2,14:34,1,10,SEA 41,0,2,J.D. McKissic right tackle for 4 yards (tackle by Ryan Kerrigan),1.660,1.660
2,13:58,2,6,SEA 45,0,2,Thomas Rawls middle for 5 yards (tackle by Zach Brown),1.660,1.620
2,13:25,3,1,,0,2,Thomas Rawls right guard for 4 yards (tackle by William Compton),1.620,2.520
2,12:49,1,10,WAS 46,0,2,"Russell Wilson pass complete short right to Jimmy Graham for 6 yards (tackle by Josh Norman). Penalty on Josh Norman: Horse Collar Tackle, 15 yards",2.520,3.910
2,12:29,1,10,WAS 25,0,2,Thomas Rawls right tackle for 11 yards (tackle by Josh Norman and DeAngelo Hall),3.910,4.650
2,11:45,1,10,WAS 14,0,2,"Russell Wilson pass complete short left to Amara Darboh for 4 yards (tackle by William Compton and Bashaud Breeland). Penalty on Tre Madden: Offensive Pass Interference, 10 yards (no play)",4.650,3.970
2,11:23,1,20,WAS 24,0,2,Russell Wilson pass incomplete deep middle intended for Tyler Lockett (defended by Bashaud Breeland),3.970,2.740
2,11:18,2,20,WAS 24,0,2,"Russell Wilson pass complete short right to Thomas Rawls for 10 yards (tackle by Josh Norman). Penalty on Oday Aboushi: Offensive Holding, 10 yards (no play)",2.740,1.390
2,10:46,2,30,WAS 34,0,2,Russell Wilson pass complete short left to Paul Richardson for 5 yards (tackle by DeAngelo Hall),1.390,1.420
2,10:14,3,25,WAS 29,0,2,Russell Wilson pass complete short middle to Doug Baldwin for 8 yards (tackle by Kendall Fuller and Zach Brown),1.420,2.060
2,9:42,4,17,WAS 21,0,2,Blair Walsh 39 yard field goal no good,2.060,-0.870
2,9:37,1,10,WAS 29,0,2,Kirk Cousins left end for 4 yards (tackle by Bobby Wagner),0.870,0.870
2,9:02,2,6,WAS 33,0,2,Robert Kelley middle for 2 yards (tackle by Jarran Reed),0.870,0.430
2,8:23,3,4,WAS 35,0,2,Kirk Cousins pass complete short middle to Vernon Davis for 10 yards (tackle by K.J. Wright),0.430,1.930
2,7:48,1,10,WAS 45,0,2,Chris Thompson left end for 1 yard (tackle by Marcus Smith and Justin Coleman),1.930,1.520
2,7:05,2,9,WAS 46,0,2,Kirk Cousins pass complete short middle to Vernon Davis for 23 yards (tackle by K.J. Wright and Richard Sherman),1.520,3.510
2,6:22,1,10,SEA 31,0,2,Kirk Cousins pass incomplete short left intended for Terrelle Pryor (defended by Bobby Wagner),3.510,2.970
2,6:19,2,10,SEA 31,0,2,Kirk Cousins pass complete short left to Josh Doctson for 10 yards (tackle by Shaquill Griffin),2.970,4.170
2,5:53,1,10,SEA 21,0,2,Robert Kelley left tackle for -5 yards (tackle by Michael Bennett and K.J. Wright),4.170,2.950
2,5:11,2,15,SEA 26,0,2,Kirk Cousins pass complete short middle to Vernon Davis for 11 yards (tackle by Kam Chancellor and Bradley McDougald),2.950,3.810
2,4:33,3,4,SEA 15,0,2,Kirk Cousins pass complete short middle to Terrelle Pryor for 5 yards (tackle by Bobby Wagner),3.810,4.910
2,4:15,1,10,SEA 10,0,2,Robert Kelley middle for 5 yards (tackle by Bradley McDougald and Bobby Wagner),4.910,5.150
2,3:39,2,5,SEA 5,0,2,"Kirk Cousins pass incomplete short right intended for Terrelle Pryor. Penalty on Richard Sherman: Defensive Pass Interference, 4 yards (no play)",5.150,6.970
2,3:36,1,1,SEA 1,0,2,Robert Kelley right tackle for no gain (tackle by Bobby Wagner),6.970,5.910
2,2:55,2,1,SEA 1,6,2,"Robert Kelley left guard for 1 yard, touchdown",5.910,7.000
2,2:52,,,SEA 15,7,2,"Penalty on Tress Way: Delay of Game, 5 yards (no play)",0.000,0.000
2,2:52,,,SEA 20,7,2,Nick Rose kicks extra point good,0.000,0.000
2,2:52,,,WAS 35,7,2,"Nick Rose kicks off 65 yards, touchback",0.000,-0.610
2,2:52,1,10,SEA 25,7,2,Russell Wilson for 6 yards (tackle by Stacy McGee),0.610,0.870
2,2:29,2,4,SEA 31,7,2,"Russell Wilson pass complete deep right to Doug Baldwin for 47 yards (tackle by D.J. Swearinger). Penalty on Germain Ifedi: Offensive Holding, 10 yards (no play)",0.870,-0.480
2,2:03,2,14,SEA 21,7,2,Russell Wilson pass complete short left to Tyler Lockett for 4 yards (tackle by Kendall Fuller),-0.480,-0.620
2,1:54,3,10,SEA 25,7,2,"Penalty on Ethan Pocic: False Start, 5 yards (no play)",-0.620,-1.290
2,1:54,3,15,SEA 20,7,2,Russell Wilson right tackle for 13 yards (tackle by Ryan Kerrigan),-1.290,0.000
2,1:30,,,,,,Timeout #1 by Washington Redskins,0.000,1.180
2,1:30,4,2,SEA 33,7,2,"Jon Ryan punts 38 yards, out of bounds",-1.180,-0.870
2,1:23,1,10,WAS 29,7,2,Kirk Cousins pass incomplete,0.870,0.330
