Quarter,Time,Tm,Detail,WAS,SEA
1.0,6:48,Seahawks,"Safety, Kirk Cousins sacked in end zone by Bobby Wagner",0,2
2.0,2:52,Redskins,Robert Kelley 1 yard rush (Nick Rose kick),7,2
3.0,10:19,Redskins,Nick Rose 28 yard field goal,10,2
4.0,11:48,Seahawks,Luke Willson 10 yard pass from Russell Wilson (pass failed),10,8
,1:34,Seahawks,Doug Baldwin 30 yard pass from Russell Wilson (pass failed),10,14
,0:59,Redskins,Robert Kelley 1 yard rush (Nick Rose kick),17,14
