Unnamed: 0,WAS,SEA
First Downs,16,22
Rush-Yds-TDs,23-51-2,28-148-0
Cmp-Att-Yd-TD-INT,21-31-247-0-0,24-45-297-2-2
Sacked-Yards,6-54,2-8
Net Pass Yards,193,289
Total Yards,244,437
Fumbles-Lost,2-1,1-0
Turnovers,1,2
Penalties-Yards,7-62,16-138
Third Down Conv.,4-13,5-14
Fourth Down Conv.,0-0,0-0
Time of Possession,27:41,32:19
