#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:05,SEA 33,3,2:00,-6,Punt
2,1,8:21,WAS 42,3,1:29,3,Punt
3,1,6:48,SEA 31,7,3:03,43,Missed FG
4,1,1:54,SEA 45,3,1:28,6,Interception
5,2,14:43,SEA 29,10,5:06,50,Missed FG
6,2,2:52,SEA 25,3,1:29,8,Punt
7,2,0:45,SEA 33,8,0:45,36,Missed FG
8,3,15:00,SEA 25,3,1:34,7,Punt
9,3,10:19,SEA 18,8,4:32,31,Interception
10,3,5:05,SEA 13,8,3:54,22,Punt
11,4,14:42,SEA 34,6,2:54,66,Touchdown
12,4,10:03,SEA 32,3,2:18,9,Punt
13,4,2:22,SEA 29,5,0:48,71,Touchdown
14,4,0:59,SEA 25,7,0:59,29,End of Game
