Unnamed: 0,GNB,CHI
First Downs,19,19
Rush-Yds-TDs,19-88-1,29-100-1
Cmp-Att-Yd-TD-INT,25-42-274-0-1,20-28-235-2-0
Sacked-Yards,5-39,1-3
Net Pass Yards,235,232
Total Yards,323,332
Fumbles-Lost,1-0,3-1
Turnovers,1,1
Penalties-Yards,7-48,4-24
Third Down Conv.,5-14,3-10
Fourth Down Conv.,1-1,0-1
Time of Possession,29:37,30:23
