Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 70 yards, returned by Marcus Sherels for 37 yards (tackle by Terrell Manning)",0.000,1.070
1,14:54,1,10,MIN 32,0,0,Adrian Peterson right guard for 4 yards (tackle by C.J. Wilson and Ryan Pickett),1.070,1.070
1,14:21,2,6,MIN 36,0,0,Adrian Peterson right tackle for 3 yards (tackle by Dezman Moses and C.J. Wilson),1.070,0.760
1,13:36,3,3,MIN 39,0,0,Joe Webb for 17 yards (tackle by Casey Hayward),0.760,2.650
1,12:58,1,10,GNB 44,0,0,Adrian Peterson right tackle for 8 yards (tackle by Ryan Pickett and Brad Jones),2.650,3.190
1,12:15,2,2,GNB 36,0,0,Adrian Peterson right end for 7 yards (tackle by Tramon Williams and Erik Walden),3.190,3.640
1,11:33,1,10,GNB 29,0,0,Adrian Peterson left guard for 11 yards (tackle by Charles Woodson and Sam Shields),3.640,4.370
1,10:55,1,10,GNB 18,0,0,Joe Webb right end for 5 yards (tackle by Dezman Moses and Morgan Burnett),4.370,4.610
1,10:16,2,5,GNB 13,0,0,Adrian Peterson up the middle for -2 yards (tackle by Charles Woodson),4.610,0.000
1,9:34,,,,0,0,Timeout #1 by Minnesota Vikings,0.000,3.460
1,9:34,3,7,GNB 15,0,0,Joe Webb pass incomplete short middle intended for Michael Jenkins,3.460,2.440
1,9:31,4,7,GNB 15,3,0,Blair Walsh 33 yard field goal good,2.440,3.000
1,,,,MIN 35,,,"Blair Walsh kicks off 64 yards, returned by Jeremy Ross for 28 yards (tackle by Jamarca Sanford)",,
1,9:20,1,10,GNB 29,3,0,Aaron Rodgers pass complete short left to Randall Cobb for 7 yards (tackle by Jamarca Sanford),0.870,1.270
1,8:56,2,3,GNB 36,3,0,DuJuan Harris left guard for 2 yards (tackle by Letroy Guion),1.270,0.830
1,8:25,3,1,GNB 38,3,0,Aaron Rodgers pass incomplete short middle intended for DuJuan Harris,0.830,-0.850
1,8:20,4,1,GNB 38,3,0,Tim Masthay punts 46 yards (tackle by Terrell Manning),-0.850,-1.140
1,8:09,1,10,MIN 33,3,0,Joe Webb for 11 yards (tackle by Charles Woodson),1.140,1.860
1,7:43,1,10,MIN 44,3,0,Adrian Peterson right end for 2 yards (tackle by Morgan Burnett),1.860,1.590
1,7:03,2,8,MIN 46,3,0,Joe Webb pass complete short left to Kyle Rudolph for 6 yards (tackle by Sam Shields),1.590,1.690
1,6:28,3,2,GNB 48,3,0,Joe Webb pass incomplete short middle intended for Rhett Ellison,1.690,0.070
1,6:21,4,2,GNB 48,3,0,"Chris Kluwe punts 35 yards, returned by Randall Cobb for 5 yards (tackle by Jamarca Sanford)",0.070,-0.040
1,6:11,1,10,GNB 18,3,0,DuJuan Harris right guard for 4 yards (tackle by Chad Greenway),0.040,0.140
1,5:43,2,6,GNB 22,3,0,DuJuan Harris left end for 4 yards (tackle by Chad Greenway),0.140,-0.140
1,5:13,3,2,GNB 26,3,0,"Ryan Grant up the middle for 2 yards (tackle by Fred Evans and Chad Greenway). Penalty on Kevin Williams: Neutral Zone Infraction, 5 yards (no play)",-0.140,1.000
1,4:46,1,10,GNB 31,3,0,Aaron Rodgers up the middle for 2 yards (tackle by Jared Allen),1.000,0.730
1,4:06,2,8,GNB 33,3,0,Aaron Rodgers pass complete short right to DuJuan Harris for 16 yards (tackle by Jamarca Sanford),0.730,2.190
1,3:44,1,10,GNB 49,3,0,DuJuan Harris right tackle for 1 yard (tackle by Letroy Guion and Chad Greenway),2.190,1.780
1,3:14,2,9,,3,0,Aaron Rodgers pass complete short middle to Jermichael Finley for 10 yards (tackle by Chad Greenway and Erin Henderson),1.780,2.920
1,2:49,1,10,MIN 40,3,0,DuJuan Harris up the middle for 4 yards (tackle by Antoine Winfield),2.920,2.910
1,2:22,2,6,MIN 36,3,0,Aaron Rodgers pass complete short middle to DuJuan Harris for 12 yards (tackle by Antoine Winfield and Erin Henderson),2.910,3.970
1,1:44,1,10,MIN 24,3,0,Ryan Grant left end for -1 yards (tackle by Jared Allen),3.970,3.300
1,1:10,2,11,MIN 25,3,0,Aaron Rodgers pass complete short right to Ryan Grant for 16 yards (tackle by Jamarca Sanford),3.300,5.140
1,0:33,1,9,MIN 9,3,6,"DuJuan Harris up the middle for 9 yards, touchdown",5.140,7.000
,,,,,,,"GNB challenged the runner broke the plane ruling, and the original play was overturned.",,
1,0:33,,,MIN 2,3,7,Mason Crosby kicks extra point good,0.000,0.000
1,0:28,,,GNB 35,3,7,"Mason Crosby kicks off 65 yards, touchback",0.000,0.280
1,0:28,1,10,MIN 20,3,7,Adrian Peterson right end for 1 yard (tackle by Dezman Moses),0.280,-0.130
Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,MIN 21,3,7,Joe Webb up the middle for 10 yards (tackle by C.J. Wilson),-0.130,1.000
2,14:21,1,10,MIN 31,3,7,Adrian Peterson up the middle for 4 yards (tackle by Clay Matthews),1.000,1.000
2,13:46,2,6,MIN 35,3,7,Joe Webb sacked by Clay Matthews for -9 yards,1.000,-0.890
2,13:10,3,15,MIN 26,3,7,"Joe Webb pass incomplete. Penalty on Joe Webb: Intentional Grounding, 10 yards",-0.890,-2.390
2,13:01,4,25,MIN 16,3,7,"Chris Kluwe punts 54 yards, returned by Randall Cobb for 6 yards (tackle by Larry Dean)",-2.390,-1.330
2,12:48,1,10,GNB 36,3,7,DuJuan Harris up the middle for 8 yards (tackle by Brian Robison and Harrison Smith),1.330,1.870
2,12:23,2,2,GNB 44,3,7,Aaron Rodgers pass complete short middle to DuJuan Harris for 7 yards (tackle by Chad Greenway),1.870,2.320
2,11:45,1,10,MIN 49,3,7,DuJuan Harris right end for -1 yards (tackle by Harrison Smith),2.320,1.650
2,11:12,2,11,,3,7,Aaron Rodgers sacked by Jared Allen for -8 yards,1.650,-0.100
2,10:34,3,19,GNB 42,3,7,Aaron Rodgers pass complete short middle to Greg Jennings for 13 yards (tackle by Harrison Smith),-0.100,0.270
2,10:03,4,6,MIN 45,3,7,"Tim Masthay punts 31 yards, fair catch by Marcus Sherels",0.270,0.280
2,9:56,1,10,MIN 14,3,7,Joe Webb pass incomplete short left intended for Michael Jenkins (defended by Sam Shields),-0.280,-0.750
2,9:50,2,10,MIN 14,3,7,Adrian Peterson up the middle for 1 yard (tackle by Dezman Moses and Brad Jones),-0.750,-1.280
2,9:10,3,9,MIN 15,3,7,Joe Webb pass complete short right to Jerome Simpson for 8 yards (tackle by Tramon Williams),-1.280,-1.830
2,8:40,4,1,MIN 23,3,7,"Chris Kluwe punts 52 yards, returned by Randall Cobb for 2 yards (tackle by Robert Blanton)",-1.830,-0.740
2,8:26,1,10,GNB 27,3,7,Randall Cobb right end for 4 yards (tackle by Fred Evans),0.740,0.740
2,7:53,2,6,GNB 31,3,7,Aaron Rodgers pass complete short right to Tom Crabtree for 10 yards (tackle by Chad Greenway and Erin Henderson),0.740,1.660
2,7:17,1,10,GNB 41,3,7,Aaron Rodgers pass complete deep right to James Jones for 20 yards (tackle by Harrison Smith),1.660,2.980
2,6:40,1,10,MIN 39,3,7,Randall Cobb right end for 2 yards (tackle by Letroy Guion),2.980,2.710
2,6:10,2,8,MIN 37,3,7,Aaron Rodgers pass complete short left to James Jones for 3 yards (tackle by Chris Cook and Antoine Winfield),2.710,2.410
2,5:26,3,5,MIN 34,3,7,Aaron Rodgers pass incomplete deep right intended for Jordy Nelson,2.410,1.070
2,5:20,4,5,MIN 34,3,7,Aaron Rodgers pass complete short left to Greg Jennings for 32 yards (tackle by Mistral Raymond),1.070,6.740
2,4:46,1,2,MIN 2,3,7,John Kuhn right tackle for 1 yard (tackle by Fred Evans and Brian Robison),6.740,5.910
2,4:09,2,1,MIN 1,3,7,Aaron Rodgers pass incomplete short left intended for Jermichael Finley,5.910,5.170
2,4:04,3,1,MIN 1,3,7,John Kuhn right guard for no gain (tackle by Fred Evans),5.170,3.550
2,3:29,4,1,MIN 1,3,10,Mason Crosby 20 yard field goal good,3.550,3.000
2,3:25,,,GNB 35,3,10,"Mason Crosby kicks off 66 yards, returned by Marcus Sherels for 34 yards (tackle by Casey Hayward). Penalty on Marvin Mitchell: Offensive Holding, 10 yards",0.000,-0.350
2,3:17,1,10,MIN 12,3,10,Adrian Peterson right tackle for 6 yards (tackle by A.J. Hawk and Charles Woodson),-0.350,-0.070
2,2:42,2,4,MIN 18,3,10,Joe Webb pass incomplete deep middle intended for Jerome Simpson,-0.070,-0.720
2,2:35,3,4,MIN 18,3,10,Joe Webb sacked by Erik Walden for -7 yards,-0.720,-2.490
2,1:48,4,11,MIN 11,3,10,Chris Kluwe punts 51 yards,-2.490,-1.470
2,1:48,1,10,GNB 38,3,10,Aaron Rodgers pass complete short middle to Jordy Nelson for 22 yards (tackle by Chad Greenway),1.470,2.920
2,1:23,1,10,MIN 40,3,10,Aaron Rodgers pass complete short left to Greg Jennings for 14 yards (tackle by Harrison Smith),2.920,3.840
2,0:56,1,10,MIN 26,3,10,Aaron Rodgers pass complete deep right to Jordy Nelson for 23 yards (tackle by A.J. Jefferson),3.840,6.510
2,0:49,1,3,MIN 3,3,10,Aaron Rodgers pass incomplete short middle intended for Jordy Nelson,6.510,5.530
2,0:42,2,3,MIN 3,3,16,"John Kuhn right guard for 3 yards, touchdown",5.530,7.000
2,0:42,,,MIN 2,3,17,Mason Crosby kicks extra point good,0.000,0.000
2,0:38,,,GNB 35,3,17,"Mason Crosby kicks off 50 yards, returned by Rhett Ellison for 13 yards (tackle by Casey Hayward). Penalty on John Kuhn: Defensive Offside, 5 yards",0.000,1.140
2,0:33,1,10,MIN 33,3,17,Joe Webb pass complete short middle to Adrian Peterson for 8 yards (tackle by M.D. Jennings),1.140,1.670
2,0:27,2,2,MIN 41,3,17,Joe Webb pass incomplete deep left intended for Jarius Wright,1.670,0.960
2,0:22,3,2,MIN 41,3,17,Adrian Peterson for 3 yards (tackle by Sam Shields),0.960,1.860
2,0:16,1,10,MIN 44,3,17,Joe Webb pass incomplete short middle intended for Jarius Wright (defended by Tramon Williams),1.860,1.320
2,0:10,2,10,MIN 44,3,17,Joe Webb pass incomplete deep left intended for Devin Aromashodu,1.320,0.630
2,0:04,3,10,MIN 44,3,17,Joe Webb pass incomplete deep right intended for Devin Aromashodu,0.630,-0.460
Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,3,17,"Blair Walsh kicks off 72 yards, touchback",0.000,0.280
