Unnamed: 0,MIN,GNB
First Downs,17,20
Rush-Yds-TDs,29-167-0,31-76-2
Cmp-Att-Yd-TD-INT,11-30-180-1-1,23-33-274-1-0
Sacked-Yards,3-23,3-24
Net Pass Yards,157,250
Total Yards,324,326
Fumbles-Lost,2-2,0-0
Turnovers,3,0
Penalties-Yards,4-30,2-10
Third Down Conv.,5-14,3-14
Fourth Down Conv.,0-2,1-1
Time of Possession,27:02,32:58
